"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"14","","11","","72","4","","0"
"5","","0","Delete Eco News","0","0","","0"
"0","","0","Get Google Security configuration","0","8","","0"
"5","","0","Delete Eco News from Favorites","0","0","","0"
"0","","0","Website language switching","2","0","","0"
"0","","1","Get All Habit Assignments for current user API","2","0","","0"
"0","","0","Habit Creation","3","0","","0"
"1","","0","Eco News","0","0","Create Eco News","0"
"5","","0","Dislike Eco News","0","0","","0"
"0","GreencityUser API","8","user-controller","3","0","Update user by UserManagement","0"
"0","","6","SocialNetwork","0","0","","0"
"0","Greencity API","0","News","18","0","Get news page","0"
"0","","11","Update user","2","0","","0"
"0","GreencityUser API","13","user-controller","10","0","Filter all user by search criteria","0"
"0","","0","GetSummaryEcoNew","10","0","Get summary eco new","0"
"5","","0","Add Eco News to Favorites","0","0","","0"
"0","","0","Retrieve eco news by ID","21","0","","0"
"0","GreenCity header functionality.","0","Header navigation.","1","0","User can be navigated to correct pages.","0"
"0","GreencityUser API","11","user-controller","4","0","Update user","0"
"5","","0","Like or Unlike Eco News","0","0","","0"
"0","","0","Habit Assignment Deletion API","3","0","","0"
"0","","0","Check if user liked eco news","0","11","","0"
"0","","0","Retrieve eco news","18","0","","0"
"0","","0","API Access Control","3","0","","0"
"0","","0","DislikeEcoNew","5","0","Dislike eco new","0"
"0","","1","Header navigation functionality","4","0","","0"
"0","","13","Filter all users by search criteria","10","0","","0"
"0","","0","Get social network image by URL","0","7","","0"
"0","","5","Update Eco News","0","0","","0"
"0","","0","Mutual friends API when users have no mutual friends","0","3","","0"
"0","","8","Update user by UserManagement","2","0","","0"
"0","","0","Delete social network by id","0","10","","0"
"0","GreenCity API","0","Email API","1","0","Green Office Notifications","0"
"0","","0","Description field validation in habit update form","0","2","","0"
"1","","0","About Us page Vision Card buttons before sign-in","0","0","","0"
"0","","0","GetRecommendedEcoNew","5","0","Get recommended eco new","0"
"0","","0","LikeUnlikeEcoNew","5","0","Like and remove like from new","0"
"0","","0","Habit Duration Customization","4","0","","0"
"0","","2","DeleteFavoritesEcoNew","3","0","Deletion from favorites eco new","0"
"0","","0","User account dropdown functionality","4","0","","0"
"0","","0","Mutual friends search functionality","0","2","","0"
"0","","0","Habit Assignment API","4","0","","0"
"0","Greencity API","0","News","39","0","Get one news by id","0"
"0","","0","UpdateEcoNew","5","0","Update new","0"
"0","","0","DeleteEcoNew","5","0","Delete new","0"
"1","","0","About Us page Form Habit buttons","0","0","","0"
"0","","1","Mutual friends visibility on user profile","4","0","","0"
"5","","0","Get Recommended Eco News","0","0","","0"
"2","","0","Friends","0","0","Friend requests","0"
"0","","0","Event Comments API functionality","0","2","","0"
"0","","0","CreateEcoNews","3","0","Create new","0"
"0","GreenCity API","0","Email API","1","0","Place Status Notifications","0"
"0","","0","Find Friend Functionality","0","1","","0"
"0","","1","User Profile Cards","2","0","","0"
"0","","0","Create eco news with valid data","0","3","","0"
"0","","0","Saved Places","1","0","Switch to Places tab","0"
"1","","0","Friends page tabs navigation","0","0","","0"
"0","","0","Main Page","1","0","Sign In","0"
"1","","0","Friends","0","0","Friend Requests - Search","0"
"0","GreenCity API","0","Email API","1","0","Telegram feedback","0"
"0","","0","API User Password Update Validation","0","5","","0"
"0","","0","Like news on the one news page","0","1","","0"
"0","GreenCity API","0","Email API","1","0","Habit Notifications","0"
"0","User Management","1","Login","0","0","Negative Login Scenarios","0"
"0","","0","Custom To-Do List Items in Habits","1","0","","0"
"0","","0","Management Social Network Images","4","0","","0"
"0","GreencityUser API","0","user-controller","2","0","Get User dto by principal (email) from access token","0"
"1","","0","Eco News","0","0","Open One News page","0"
"0","","0","Eco News","1","0","Eco News page - Smoke","0"
"0","","0","Cancel habit update","0","2","","0"
"1","","0","Create Eco News","0","0","","0"
"0","","0","User Profile Functionality","3","1","","0"
"0","","0","Get User DTO by principal (email from access token)","2","0","","0"
"0","GreenCity API","0","Email API","1","0","Scheduled Notifications","0"
"0","GreenCity API","0","Email API","1","0","Eco News Notifications","0"
"0","","0","Fact of the Day","1","0","Get random fact by tags","0"
"0","GreenCity API","0","Email API","1","0","Report Notifications","0"
"0","","2","AddToFavoritesEcoNew","3","0","Add to favorites eco new","0"
"5","","0","Get Eco News Summary","0","0","","0"
"0","","0","Main Page","1","0","Navigation to Eco News","0"
"1","","0","Navigate to Create Event page","0","0","","0"
"0","GreenCity API","0","Email API","1","0","Account Deactivation Notifications","0"
"0","","0","Social Network Images","1","0","Get all images - forbidden","0"
"0","","0","Main Page","1","0","Main page loading","0"
"0","","0","Update habit duration","0","2","","0"
"0","GreenCity API","0","Email API","1","0","User Violation Notifications","0"
"0","GreenCity Main Functionality","0","User Profile","1","0","User menu functionality check.","0"
"0","","1","Saved Places","0","0","Filters and search controls","0"
"1","","0","Create Eco News with invalid data","0","0","","0"
"0","GreenCity Main Functionality","0","Localization","1","0","User can switch site language from Header","0"
"0","","0","API User Sign-In Validation","0","1","","0"
"0","","0","Saved Places","1","0","Open Saved Places page","0"
"0","GreenCity API","0","Email API","1","0","Account Activation Notifications","0"
"0","","0","Sign-In Modal Validation","0","1","","0"
"1","","0","About Us page Vision Card buttons after sign-in","0","0","","0"
"0","GreenCity API","0","Friends API","1","0","Get mutual friends","0"
"0","","1","Authentication","0","0","User Login","0"
"0","","0","Fact of the Day","1","0","Get random fact","0"
"1","","0","Saved Abstract page tabs navigation","0","0","","0"
