"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check slider working","5031","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Wed Mar 04 09:56:25 UTC 2026","passed","Wed Mar 04 09:56:30 UTC 2026","","test_slider_keyboard_interaction","",""
"Test like one news page like one news","4247","Test add event link in my events page","tests.ui.my_space_pages_tests.my_events_page_tests","Wed Mar 04 09:56:31 UTC 2026","broken","Wed Mar 04 09:56:36 UTC 2026","","test_add_event_link_in_my_events_page","",""
"Test like one news page like one news","278","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 09:54:13 UTC 2026","passed","Wed Mar 04 09:54:14 UTC 2026","","test_eco_news_get_client_request","",""
"This test verifies that a user cannot successfully create eco news, because of invalid data. ","3261","Test Validation: Create Eco News with Invalid Data. Open Create Eco News page.","tests.ui.news_pages_tests","Wed Mar 04 09:56:37 UTC 2026","broken","Wed Mar 04 09:56:40 UTC 2026","","test_create_eco_news_with_invalid_data","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","15898","Update basic profile information","tests.ui.edit_profile_page_tests","Wed Mar 04 09:54:41 UTC 2026","broken","Wed Mar 04 09:54:57 UTC 2026","","test_edit_profile_info","",""
"Test like one news page like one news","224","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 09:54:16 UTC 2026","passed","Wed Mar 04 09:54:16 UTC 2026","","test_eco_news_get_client_request","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","7149","Update basic profile information","tests.ui.edit_profile_page_tests","Wed Mar 04 09:54:32 UTC 2026","failed","Wed Mar 04 09:54:39 UTC 2026","","test_edit_profile_info","",""
"Test like one news page like one news","14258","Test like one news on one news page","tests.ui.news_pages_tests","Wed Mar 04 09:56:47 UTC 2026","broken","Wed Mar 04 09:57:02 UTC 2026","","test_one_news_page_like_one_news","",""
"Test like one news page like one news","432","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 09:54:14 UTC 2026","passed","Wed Mar 04 09:54:15 UTC 2026","","test_eco_news_get_client_request","",""
"We check possibility add field into to do list of some special habit","14366","Add custom item into to_do_list","tests.ui.my_habit_tests","Wed Mar 04 09:55:59 UTC 2026","passed","Wed Mar 04 09:56:14 UTC 2026","","test_one_event_page_add_custom_item_in_to_do_list","",""
"Function to test header navigation.","4129","Header navigation test.","tests.ui.header_navigation_tests","Wed Mar 04 09:55:54 UTC 2026","passed","Wed Mar 04 09:55:58 UTC 2026","","test_header_navigation","",""
"Test eco news request expecting error","218","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 09:54:13 UTC 2026","passed","Wed Mar 04 09:54:13 UTC 2026","","test_eco_news_get_client_request","",""
"Test eco news request expecting error","502","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 09:54:12 UTC 2026","passed","Wed Mar 04 09:54:13 UTC 2026","","test_eco_news_get_client_request","",""
"Test that 'Habit title' field is required.","385","Check that user is not able to submit a form on the Create Habit page after leaving the 'Title' field empty","tests.ui.habit_form_tests","Wed Mar 04 09:55:45 UTC 2026","passed","Wed Mar 04 09:55:45 UTC 2026","","test_required_title","",""
"Test eco news request expecting error","471","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 09:54:12 UTC 2026","passed","Wed Mar 04 09:54:12 UTC 2026","","test_eco_news_get_client_request","",""
"Check slider working","8485","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Wed Mar 04 09:56:15 UTC 2026","passed","Wed Mar 04 09:56:24 UTC 2026","","test_slider_boundaries","",""
"Test like one news page like one news","573","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 09:54:14 UTC 2026","passed","Wed Mar 04 09:54:14 UTC 2026","","test_eco_news_get_client_request","",""
"","15669","Verify user search, friend request sending, persistence, and cancellation","tests.ui.find_friend_page_tests","Wed Mar 04 09:55:02 UTC 2026","failed","Wed Mar 04 09:55:18 UTC 2026","","test_findfriend_verify_user_search","",""
"This test verifies that a user can successfully click on form habit buttons. ","4392","Test Validation: About Us Page Buttons Verification.","tests.ui.about_us_page_tests","Wed Mar 04 09:54:21 UTC 2026","passed","Wed Mar 04 09:54:25 UTC 2026","","test_about_us_page_buttons_verification","",""
"Testcase that an authorized user can successfully post a comment and delete it.","1058","Verify that an authorized user can successfully leave and delete a comment.","tests.api","Wed Mar 04 09:54:17 UTC 2026","passed","Wed Mar 04 09:54:18 UTC 2026","","test_events_comments","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Wed Mar 04 09:54:18 UTC 2026","passed","Wed Mar 04 09:54:18 UTC 2026","","test_stub","",""
