"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test like one news page like one news","84","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 09 17:38:54 UTC 2026","passed","Mon Mar 09 17:38:54 UTC 2026","","test_get_eco_news_by_id","",""
"This test verifies that a user can successfully click on form habit buttons. ","3139","Test Validation: About Us Page Buttons Verification.","tests.ui.about_us_page_tests","Mon Mar 09 17:39:01 UTC 2026","passed","Mon Mar 09 17:39:04 UTC 2026","","test_about_us_page_buttons_verification","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","102","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 09 17:38:51 UTC 2026","passed","Mon Mar 09 17:38:51 UTC 2026","","test_find_eco_news_by_page","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","202","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 09 17:38:51 UTC 2026","passed","Mon Mar 09 17:38:51 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","87","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 09 17:38:54 UTC 2026","passed","Mon Mar 09 17:38:54 UTC 2026","","test_get_eco_news_by_id","",""
"TC-FR-03: Accept friend request and verify it appears in My Friends after refresh.","12166","TC-FR-03: Accept friend request","tests.ui.friend_request_page_tests","Mon Mar 09 17:40:48 UTC 2026","broken","Mon Mar 09 17:41:00 UTC 2026","","test_fr_accept_friend_request","",""
"Test like one news page like one news","113","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 09 17:38:53 UTC 2026","passed","Mon Mar 09 17:38:53 UTC 2026","","test_get_eco_news_by_id","",""
"This test verifies that a user can successfully navigate through tabs on friends abstract page. ","2052","Test Validation: friends abstract page navigation through tabs.","tests.ui","Mon Mar 09 17:43:28 UTC 2026","passed","Mon Mar 09 17:43:30 UTC 2026","","test_friends_abstract_navigation","",""
"Test habit assignment by habit ID","288","Test habit assignment with login","tests.api.habit_api_tests","Mon Mar 09 17:38:45 UTC 2026","passed","Mon Mar 09 17:38:45 UTC 2026","","test_habit_assignment","",""
"Test eco news request expecting error","95","Verify proper responses when use invalid query params","tests.api.news_api_tests","Mon Mar 09 17:38:49 UTC 2026","passed","Mon Mar 09 17:38:49 UTC 2026","","test_find_eco_news_by_page","",""
"Test eco news request expecting error","93","Verify proper responses when use invalid query params","tests.api.news_api_tests","Mon Mar 09 17:38:48 UTC 2026","passed","Mon Mar 09 17:38:49 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","102","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 09 17:38:53 UTC 2026","passed","Mon Mar 09 17:38:54 UTC 2026","","test_get_eco_news_by_id","",""
"Test for successful habit creation.","1118","Check that user is able to create a new habit card by filling in all required fields on the Create habit page","tests.ui.habit_form_tests","Mon Mar 09 17:41:29 UTC 2026","passed","Mon Mar 09 17:41:30 UTC 2026","","test_successful_habit_creation","",""
