"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify get mutual friends.","227","Verify user can get list of mutual friends via API.","tests.api.friends_api_test","Fri Mar 20 12:37:58 UTC 2026","passed","Fri Mar 20 12:37:58 UTC 2026","","test_mutual_friends","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","190","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 12:38:19 UTC 2026","passed","Fri Mar 20 12:38:19 UTC 2026","","test_find_eco_news_by_page","",""
"Test of dislike of eco new","230","Dislike eco new by id.","tests.api.news_api_tests","Fri Mar 20 12:38:11 UTC 2026","passed","Fri Mar 20 12:38:11 UTC 2026","","test_dislike_eco_new","",""
"Test of dislike of eco new","227","Dislike eco new by id.","tests.api.news_api_tests","Fri Mar 20 12:38:10 UTC 2026","passed","Fri Mar 20 12:38:10 UTC 2026","","test_dislike_eco_new","",""
"Test case that verifies a sent friend request remains active after the user logs out and logs back in.","10301","Verify Friend Request Persistence After User Logout and Login","tests.ui.find_friend_page_tests","Fri Mar 20 12:41:50 UTC 2026","broken","Fri Mar 20 12:42:00 UTC 2026","","test_verify_friend_request_persistence","",""
"Test of dislike of eco new","196","Get summary eco new by id.","tests.api.news_api_tests","Fri Mar 20 12:38:30 UTC 2026","passed","Fri Mar 20 12:38:30 UTC 2026","","test_user_like_oneco_new","",""
"Test eco news summary retrieval by id (GET /eco-news/{id}/summary)","200","Get summary eco new by id.","tests.api.news_api_tests","Fri Mar 20 12:38:13 UTC 2026","passed","Fri Mar 20 12:38:14 UTC 2026","","test_eco_new_summary","",""
"Test for validation of Google security authentication.","184","test_google_security[-uk-404-message-Page is not found]","tests.api","Fri Mar 20 12:38:44 UTC 2026","failed","Fri Mar 20 12:38:44 UTC 2026","","test_google_security","",""
"auth login validation","316","Verify successful login, response time, and token validity","tests.api.own-security-controller_tests","Fri Mar 20 12:38:32 UTC 2026","failed","Fri Mar 20 12:38:32 UTC 2026","","test_login_validation","",""
"Test Friend Page search.","12504","Search friend requests by partial username","tests.ui.friend_request_page_tests","Fri Mar 20 12:42:18 UTC 2026","broken","Fri Mar 20 12:42:31 UTC 2026","","test_friend_requests_search","",""
