"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9652","Adjusting habit durations with the slider -- @1.1 ","","Wed Apr 01 16:57:48 UTC 2026","passed","Wed Apr 01 16:57:57 UTC 2026","","","",""
"","2238","Get recommended eco news by id -- @1.5 ","","Wed Apr 01 16:49:39 UTC 2026","passed","Wed Apr 01 16:49:41 UTC 2026","","","",""
"","99","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'DAILY'","tests.api.user_notification_preference_tests","Wed Apr 01 16:48:01 UTC 2026","passed","Wed Apr 01 16:48:01 UTC 2026","","test_forbidden_user_notif_pref","",""
"Negative security tests: verify regular user receives 403 on restricted email endpoints.","98","Security: Verify regular user gets 403 when trying to send place status change email","tests.api.email_api_tests","Wed Apr 01 16:46:59 UTC 2026","passed","Wed Apr 01 16:46:59 UTC 2026","","test_email","",""
"","112","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'MONTHLY'","tests.api.user_notification_preference_tests","Wed Apr 01 16:48:02 UTC 2026","passed","Wed Apr 01 16:48:02 UTC 2026","","test_forbidden_user_notif_pref","",""
"","2689","Update user with invalid access token -- @1.1 ","","Wed Apr 01 16:52:05 UTC 2026","passed","Wed Apr 01 16:52:08 UTC 2026","","","",""
"","2307","Update eco news with invalid data -- @1.2 ","","Wed Apr 01 16:50:15 UTC 2026","failed","Wed Apr 01 16:50:18 UTC 2026","","","",""
"Test like one news page like one news","103","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Wed Apr 01 16:47:41 UTC 2026","passed","Wed Apr 01 16:47:41 UTC 2026","","test_get_eco_news_by_id","",""
"Test of dislike of eco new","101","Get summary eco new by id.","tests.api.news_api_tests","Wed Apr 01 16:47:47 UTC 2026","passed","Wed Apr 01 16:47:47 UTC 2026","","test_user_like_oneco_new","",""
"Test for validation of Google security authentication.","109","test_google_security[GREENCITY-uk-200--]","tests.api","Wed Apr 01 16:47:59 UTC 2026","failed","Wed Apr 01 16:47:59 UTC 2026","","test_google_security","",""
"","2242","Filter users without access token -- @1.3 ","","Wed Apr 01 16:50:34 UTC 2026","passed","Wed Apr 01 16:50:36 UTC 2026","","","",""
"Test get user dto by principal from access token","83","Verify response with access token","tests.api.greencity_user_api.user_controller","Wed Apr 01 16:47:06 UTC 2026","passed","Wed Apr 01 16:47:06 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"Test like one news page like one news","93","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Wed Apr 01 16:47:40 UTC 2026","passed","Wed Apr 01 16:47:40 UTC 2026","","test_get_eco_news_by_id","",""
"","94","Verify 403 Forbidden for ROLE_USER with pref 'LIKES' and period 'NEVER'","tests.api.user_notification_preference_tests","Wed Apr 01 16:48:03 UTC 2026","passed","Wed Apr 01 16:48:03 UTC 2026","","test_forbidden_user_notif_pref","",""
"","7","Check if user liked eco news by id -- @1.2 ","","Wed Apr 01 16:50:18 UTC 2026","skipped","Wed Apr 01 16:50:18 UTC 2026","","","",""
"","11334","Slider stops at the boundaries (Min and Max)","","Wed Apr 01 16:57:36 UTC 2026","passed","Wed Apr 01 16:57:48 UTC 2026","","","",""
"Test get user dto by principal from access token","89","Verify response without access token","tests.api.greencity_user_api.user_controller","Wed Apr 01 16:47:07 UTC 2026","passed","Wed Apr 01 16:47:07 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"","2409","Like or unlike eco news by id -- @1.4 ","","Wed Apr 01 16:50:01 UTC 2026","failed","Wed Apr 01 16:50:04 UTC 2026","","","",""
"Testing of social networks image get request using valid url","81","Check user access for image of social network.","tests.api.social_networks","Wed Apr 01 16:47:55 UTC 2026","failed","Wed Apr 01 16:47:55 UTC 2026","","test_social_network_image","",""
