"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test for validation of correctness of DELETE request.","132","Delete eco new by id.","tests.api.news_api_tests","Wed Apr 01 22:58:34 UTC 2026","passed","Wed Apr 01 22:58:34 UTC 2026","","test_delete_eco_new_by_id","",""
"","14660","Navigate through Friends page tabs","","Wed Apr 01 23:05:47 UTC 2026","broken","Wed Apr 01 23:06:02 UTC 2026","","","",""
"","106","Verify 403 Forbidden for ROLE_USER with pref 'LIKES' and period 'IMMEDIATELY'","tests.api.user_notification_preference_tests","Wed Apr 01 22:59:10 UTC 2026","passed","Wed Apr 01 22:59:10 UTC 2026","","test_forbidden_user_notif_pref","",""
"Test eco news summary retrieval by id (GET /eco-news/{id}/summary)","134","Get summary eco new by id.","tests.api.news_api_tests","Wed Apr 01 22:58:39 UTC 2026","passed","Wed Apr 01 22:58:40 UTC 2026","","test_eco_new_summary","",""
"","1","User can send, persist, and cancel a friend request -- @1.1 ","","Wed Apr 01 23:05:47 UTC 2026","skipped","Wed Apr 01 23:05:47 UTC 2026","","","",""
"","4469","User navigates to Events page","","Wed Apr 01 23:06:17 UTC 2026","passed","Wed Apr 01 23:06:21 UTC 2026","","","",""
"","1840","Validate eco news retrieval by ID with different languages -- @1.16 ","","Wed Apr 01 23:00:15 UTC 2026","passed","Wed Apr 01 23:00:17 UTC 2026","","","",""
"Test eco news request expecting error","103","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Apr 01 22:58:40 UTC 2026","passed","Wed Apr 01 22:58:40 UTC 2026","","test_find_eco_news_by_page","",""
"","6165","Successfully create a habit with mandatory fields","","Wed Apr 01 23:05:05 UTC 2026","passed","Wed Apr 01 23:05:11 UTC 2026","","","",""
"Test eco news request expecting error","113","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Apr 01 22:58:41 UTC 2026","passed","Wed Apr 01 22:58:41 UTC 2026","","test_find_eco_news_by_page","",""
"","2423","Validate eco news retrieval by ID with different languages -- @1.13 ","","Wed Apr 01 23:00:08 UTC 2026","passed","Wed Apr 01 23:00:11 UTC 2026","","","",""
"","1960","API returns eco news list with valid filters -- @1.10 ","","Wed Apr 01 22:59:34 UTC 2026","passed","Wed Apr 01 22:59:36 UTC 2026","","","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","213","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Apr 01 22:58:43 UTC 2026","passed","Wed Apr 01 22:58:44 UTC 2026","","test_find_eco_news_by_page","",""
"","2052","Filter users without access token -- @1.5 ","","Wed Apr 01 23:01:39 UTC 2026","passed","Wed Apr 01 23:01:41 UTC 2026","","","",""
"Test create eco news request with valid data","143","Update eco new by applying valid parameters to the form.","tests.api.news_api_tests","Wed Apr 01 22:58:53 UTC 2026","passed","Wed Apr 01 22:58:53 UTC 2026","","test_update_eco_new_by_id","",""
"Test like one news page like one news","102","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Wed Apr 01 22:58:45 UTC 2026","passed","Wed Apr 01 22:58:45 UTC 2026","","test_get_eco_news_by_id","",""
"Test summary get of eco new","163","Get recommended eco new by id.","tests.api.news_api_tests","Wed Apr 01 22:58:50 UTC 2026","passed","Wed Apr 01 22:58:50 UTC 2026","","test_get_recommended_eco_news","",""
"Test summary get of eco new","175","Get recommended eco new by id.","tests.api.news_api_tests","Wed Apr 01 22:58:50 UTC 2026","passed","Wed Apr 01 22:58:50 UTC 2026","","test_get_recommended_eco_news","",""
"Test like one news page like one news","112","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Wed Apr 01 22:58:48 UTC 2026","passed","Wed Apr 01 22:58:48 UTC 2026","","test_get_eco_news_by_id","",""
"","3342","API returns eco news list with valid filters -- @1.2 ","","Wed Apr 01 22:59:14 UTC 2026","passed","Wed Apr 01 22:59:17 UTC 2026","","","",""
"Test like one news page like one news","111","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Wed Apr 01 22:58:47 UTC 2026","passed","Wed Apr 01 22:58:47 UTC 2026","","test_get_eco_news_by_id","",""
"Test that 'Habit title' field is required.","359","Check that user is not able to submit a form on the Create Habit page after leaving the 'Title' field empty","tests.ui.habit_form_tests","Wed Apr 01 23:04:08 UTC 2026","passed","Wed Apr 01 23:04:09 UTC 2026","","test_required_title","",""
"","5413","Verify mutual friends tab after page refresh","","Wed Apr 01 23:07:10 UTC 2026","passed","Wed Apr 01 23:07:16 UTC 2026","","","",""
"Check user menu functionality.","994","User menu check","tests.ui.user_menu_test","Wed Apr 01 23:09:12 UTC 2026","passed","Wed Apr 01 23:09:13 UTC 2026","","test_user_menu","",""
"Test like one news page like one news","108","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Wed Apr 01 22:58:45 UTC 2026","passed","Wed Apr 01 22:58:46 UTC 2026","","test_get_eco_news_by_id","",""
"Test get user dto by principal from access token","103","Verify response with access token","tests.api.greencity_user_api.user_controller","Wed Apr 01 22:58:18 UTC 2026","failed","Wed Apr 01 22:58:19 UTC 2026","","test_update_user","",""
"","103","Verify 403 Forbidden for ROLE_USER with pref 'PLACES' and period 'WEEKLY'","tests.api.user_notification_preference_tests","Wed Apr 01 22:59:12 UTC 2026","passed","Wed Apr 01 22:59:12 UTC 2026","","test_forbidden_user_notif_pref","",""
"","2915","Filter users with invalid parameters -- @1.12 ","","Wed Apr 01 23:02:08 UTC 2026","failed","Wed Apr 01 23:02:11 UTC 2026","","","",""
"This test verifies that the user can successfully send friend request to the other user. ","10073","Add friend by clicking on button","tests.ui.friend_abstract_other_user","Wed Apr 01 23:03:03 UTC 2026","broken","Wed Apr 01 23:03:13 UTC 2026","","test_add_friend","",""
"Test get user dto by principal from access token","112","Verify response with access token","tests.api.greencity_user_api.user_controller","Wed Apr 01 22:58:09 UTC 2026","passed","Wed Apr 01 22:58:09 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"Test of addition to favorites of eco new","128","Add to favorites eco new by id.","tests.api.news_api_tests","Wed Apr 01 22:58:31 UTC 2026","failed","Wed Apr 01 22:58:32 UTC 2026","","test_add_to_favourites_eco_new_by_id","",""
"","2389","Add eco news to favorites by id -- @1.3 ","","Wed Apr 01 22:58:08 UTC 2026","failed","Wed Apr 01 22:58:11 UTC 2026","","","",""
"","1693","Validate eco news retrieval by ID with different languages -- @1.15 ","","Wed Apr 01 23:00:13 UTC 2026","passed","Wed Apr 01 23:00:15 UTC 2026","","","",""
"Negative security tests: verify regular user receives 403 on restricted email endpoints.","325","Security: Verify regular user gets 403 when trying to send Telegram feedback email","tests.api.email_api_tests","Wed Apr 01 22:57:56 UTC 2026","passed","Wed Apr 01 22:57:57 UTC 2026","","test_email","",""
"Verify that user can retrieve todo list and it matches schema","569","ToDo list smoke test with schema validation","tests.api.to_do_list_item_api_tests","Wed Apr 01 22:59:09 UTC 2026","skipped","Wed Apr 01 22:59:09 UTC 2026","","test_creating_to_do_list_item","",""
"Test get user dto by principal from access token","121","Verify response without access token","tests.api.greencity_user_api.user_controller","Wed Apr 01 22:58:19 UTC 2026","passed","Wed Apr 01 22:58:19 UTC 2026","","test_update_user","",""
"","6047","Verify Vision Card buttons after sign-in","","Wed Apr 01 23:03:56 UTC 2026","passed","Wed Apr 01 23:04:02 UTC 2026","","","",""
"","0","Unsuccessful password update due to validation errors -- @1.3 ","","Wed Apr 01 23:03:50 UTC 2026","skipped","Wed Apr 01 23:03:50 UTC 2026","","","",""
"","3080","API returns eco news list with valid filters -- @1.5 ","","Wed Apr 01 22:59:22 UTC 2026","passed","Wed Apr 01 22:59:25 UTC 2026","","","",""
