"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5207","Validation of mandatory ""Title"" field","","Fri Mar 27 15:03:32 UTC 2026","passed","Fri Mar 27 15:03:37 UTC 2026","","","",""
"Test get user dto by principal from access token","93","Verify response with access token","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:02 UTC 2026","passed","Fri Mar 27 14:57:02 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"","610","Update user with valid and invalid data -- @1.1 ","","Fri Mar 27 15:01:22 UTC 2026","failed","Fri Mar 27 15:01:22 UTC 2026","","","",""
"","1","Forbidden access","","Fri Mar 27 14:59:57 UTC 2026","skipped","Fri Mar 27 14:59:57 UTC 2026","","","",""
"","0","Verify cancel button discards changes","","Fri Mar 27 15:06:35 UTC 2026","skipped","Fri Mar 27 15:06:35 UTC 2026","","","",""
"Test get user dto by principal from access token","78","Verify invalid response","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:06 UTC 2026","failed","Fri Mar 27 14:57:06 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"","2174","Get eco news summary by id -- @1.2 ","","Fri Mar 27 14:59:24 UTC 2026","failed","Fri Mar 27 14:59:26 UTC 2026","","","",""
"","2586","Delete eco news by id with invalid or restricted access -- @1.2 ","","Fri Mar 27 14:57:09 UTC 2026","failed","Fri Mar 27 14:57:11 UTC 2026","","","",""
"","3728","User navigates to Events page","","Fri Mar 27 15:04:33 UTC 2026","passed","Fri Mar 27 15:04:37 UTC 2026","","","",""
"","2565","Get eco news summary by id -- @1.4 ","","Fri Mar 27 14:59:28 UTC 2026","failed","Fri Mar 27 14:59:31 UTC 2026","","","",""
"Test for deletion of social_network by id verification","83","Check user access to the deletion of social media.","tests.api.social_networks","Fri Mar 27 14:57:50 UTC 2026","failed","Fri Mar 27 14:57:50 UTC 2026","","test_delete_social_network","",""
"Test that 'Habit description' textarea is required.","328","Check that user is not able to submit a form on the Create Habit page after leaving the 'Habit description' textarea empty","tests.ui.habit_form_tests","Fri Mar 27 15:02:47 UTC 2026","passed","Fri Mar 27 15:02:47 UTC 2026","","test_required_description","",""
"Test for validation of Google security authentication.","84","test_google_security[-uk-404-message-Page is not found]","tests.api","Fri Mar 27 14:57:56 UTC 2026","failed","Fri Mar 27 14:57:56 UTC 2026","","test_google_security","",""
"","1","Eco news does not exist","","Fri Mar 27 14:59:57 UTC 2026","skipped","Fri Mar 27 14:59:57 UTC 2026","","","",""
"Test eco news request expecting error","94","Verify proper responses when use invalid query params","tests.api.news_api_tests","Fri Mar 27 14:57:29 UTC 2026","passed","Fri Mar 27 14:57:29 UTC 2026","","test_find_eco_news_by_page","",""
"","95","Verify 403 Forbidden for ROLE_USER with pref 'PLACES' and period 'IMMEDIATELY'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:57 UTC 2026","passed","Fri Mar 27 14:57:57 UTC 2026","","test_forbidden_user_notif_pref","",""
"","2648","Update user with valid and invalid data -- @1.6 ","","Fri Mar 27 15:01:32 UTC 2026","failed","Fri Mar 27 15:01:35 UTC 2026","","","",""
"Test to verify get mutual friends.","125","Verify user can get list of mutual friends via API.","tests.api.friends_api_test","Fri Mar 27 14:57:01 UTC 2026","passed","Fri Mar 27 14:57:01 UTC 2026","","test_mutual_friends","",""
"Test like one news page like one news","93","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 14:57:33 UTC 2026","passed","Fri Mar 27 14:57:33 UTC 2026","","test_get_eco_news_by_id","",""
"","1","Unexpected status code","","Fri Mar 27 15:02:16 UTC 2026","skipped","Fri Mar 27 15:02:16 UTC 2026","","","",""
"Test of addition to favorites of eco new","100","Add to favorites eco new by id.","tests.api.news_api_tests","Fri Mar 27 14:57:23 UTC 2026","passed","Fri Mar 27 14:57:23 UTC 2026","","test_add_to_favourites_eco_new_by_id","",""
"Negative security tests: verify regular user receives 403 on restricted email endpoints.","320","Security: Verify regular user gets 403 when trying to send report email","tests.api.email_api_tests","Fri Mar 27 14:56:53 UTC 2026","passed","Fri Mar 27 14:56:53 UTC 2026","","test_email","",""
"Test create eco news request with valid data","664","Create eco new by applying valid parameters to the form.","tests.api","Fri Mar 27 14:57:53 UTC 2026","passed","Fri Mar 27 14:57:54 UTC 2026","","test_create_eco_news_form","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","13196","Update basic profile information","tests.ui.edit_profile_page_tests","Fri Mar 27 14:59:31 UTC 2026","broken","Fri Mar 27 14:59:44 UTC 2026","","test_edit_profile_info","",""
"","4177","User switches website language -- @1.2 ","","Fri Mar 27 15:04:25 UTC 2026","passed","Fri Mar 27 15:04:29 UTC 2026","","","",""
"","14368","Verify Vision Card buttons without sign-in","","Fri Mar 27 15:02:26 UTC 2026","failed","Fri Mar 27 15:02:40 UTC 2026","","","",""
"This test verifies that the user can successfully open partners pages. ","6846","Open partners pages by clicking on buttons","tests.ui.ubs_courier_page_tests","Fri Mar 27 15:06:30 UTC 2026","passed","Fri Mar 27 15:06:37 UTC 2026","","test_partners_buttons","",""
"","1","Unsuccessful password update due to validation errors -- @1.1 ","","Fri Mar 27 15:02:16 UTC 2026","skipped","Fri Mar 27 15:02:16 UTC 2026","","","",""
"Test like one news page like one news","110","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 14:57:34 UTC 2026","passed","Fri Mar 27 14:57:34 UTC 2026","","test_get_eco_news_by_id","",""
"","383","Verify user can successfully update their own event comment","tests.api.event_comment_tests","Fri Mar 27 14:56:58 UTC 2026","skipped","Fri Mar 27 14:56:59 UTC 2026","","test_verify_user_can_update_comment","",""
"","2596","Get recommended eco news by id -- @1.4 ","","Fri Mar 27 14:59:16 UTC 2026","passed","Fri Mar 27 14:59:19 UTC 2026","","","",""
"","96","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'NEVER'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:59 UTC 2026","passed","Fri Mar 27 14:57:59 UTC 2026","","test_forbidden_user_notif_pref","",""
"","2444","Filter users without access token -- @1.1 ","","Fri Mar 27 15:00:07 UTC 2026","passed","Fri Mar 27 15:00:09 UTC 2026","","","",""
"Verify that user can retrieve todo list and it matches schema","304","ToDo list smoke test with schema validation","tests.api.to_do_list_item_api_tests","Fri Mar 27 14:57:56 UTC 2026","skipped","Fri Mar 27 14:57:56 UTC 2026","","test_creating_to_do_list_item","",""
"","639","Filter users with valid parameters -- @1.5 ","","Fri Mar 27 15:00:06 UTC 2026","passed","Fri Mar 27 15:00:07 UTC 2026","","","",""
"","1982","API returns eco news list with valid filters -- @1.11 ","","Fri Mar 27 14:58:18 UTC 2026","passed","Fri Mar 27 14:58:20 UTC 2026","","","",""
"","0","Unauthorized user cannot leave a comment on an event","","Fri Mar 27 14:59:57 UTC 2026","skipped","Fri Mar 27 14:59:57 UTC 2026","","","",""
"","2154","Update eco news with invalid data -- @1.1 ","","Fri Mar 27 14:59:53 UTC 2026","failed","Fri Mar 27 14:59:55 UTC 2026","","","",""
"","2155","Filter users with invalid parameters -- @1.2 ","","Fri Mar 27 15:00:20 UTC 2026","failed","Fri Mar 27 15:00:22 UTC 2026","","","",""
"","107","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'TWICE_A_DAY'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:57 UTC 2026","passed","Fri Mar 27 14:57:57 UTC 2026","","test_forbidden_user_notif_pref","",""
"","3044","Filter users with invalid parameters -- @1.9 ","","Fri Mar 27 15:00:34 UTC 2026","failed","Fri Mar 27 15:00:37 UTC 2026","","","",""
"Test get user dto by principal from access token","79","Verify response without access token","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:02 UTC 2026","passed","Fri Mar 27 14:57:02 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"Test get user dto by principal from access token","105","Verify invalid response","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:04 UTC 2026","failed","Fri Mar 27 14:57:04 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"","2685","Delete eco news from favorites by id -- @1.3 ","","Fri Mar 27 14:57:21 UTC 2026","failed","Fri Mar 27 14:57:24 UTC 2026","","","",""
"Test get user dto by principal from access token","93","Verify response without access token","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:02 UTC 2026","passed","Fri Mar 27 14:57:02 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"","78","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'DAILY'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:58 UTC 2026","passed","Fri Mar 27 14:57:58 UTC 2026","","test_forbidden_user_notif_pref","",""
"","1","Get social network image -- @1.1 ","","Fri Mar 27 15:02:16 UTC 2026","skipped","Fri Mar 27 15:02:16 UTC 2026","","","",""
"Test like one news page like one news","98","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 14:57:32 UTC 2026","passed","Fri Mar 27 14:57:32 UTC 2026","","test_get_eco_news_by_id","",""
"","112","Verify 403 Forbidden for ROLE_USER with pref 'INVITES' and period 'MONTHLY'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:59 UTC 2026","passed","Fri Mar 27 14:57:59 UTC 2026","","test_forbidden_user_notif_pref","",""
"Test get user dto by principal from access token","91","Verify response without access token","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:11 UTC 2026","passed","Fri Mar 27 14:57:11 UTC 2026","","test_update_user","",""
"Testing of social networks image get request using invalid url","93","test_social_networks_get_image_invalid[https://picsum.photos/500-500-error-Internal Server Error]","tests.api.social_networks","Fri Mar 27 14:57:53 UTC 2026","failed","Fri Mar 27 14:57:53 UTC 2026","","test_social_network_image","",""
"Test get user dto by principal from access token","97","Verify invalid response","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:05 UTC 2026","failed","Fri Mar 27 14:57:05 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"","2130","Filter users with valid parameters -- @1.2 ","","Fri Mar 27 14:59:59 UTC 2026","passed","Fri Mar 27 15:00:01 UTC 2026","","","",""
"Test like one news page like one news","90","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 14:57:34 UTC 2026","passed","Fri Mar 27 14:57:34 UTC 2026","","test_get_eco_news_by_id","",""
"Test for validation of Google security authentication.","108","test_google_security[GREENCITY-en-200--]","tests.api","Fri Mar 27 14:57:55 UTC 2026","failed","Fri Mar 27 14:57:55 UTC 2026","","test_google_security","",""
"Verify that registered user can create new event with valid data and is redirected to event page after publishing.","2811","Create new event with valid data","tests.ui.create_update_event_page_tests","Fri Mar 27 14:59:25 UTC 2026","broken","Fri Mar 27 14:59:28 UTC 2026","","test_create_new_event","",""
"Test correct navigation to Edit Profile page.","215","Check that user is redirected to Edit Profile page after clicking on the [Edit] button","tests.ui.my_space_pages_tests.my_space_profile_tests","Fri Mar 27 15:04:18 UTC 2026","passed","Fri Mar 27 15:04:18 UTC 2026","","test_navigation_to_edit_profile_page","",""
"","1952","Filter users without access token -- @1.4 ","","Fri Mar 27 15:00:13 UTC 2026","passed","Fri Mar 27 15:00:15 UTC 2026","","","",""
"","2122","Like or unlike eco news by id -- @1.1 ","","Fri Mar 27 14:59:34 UTC 2026","failed","Fri Mar 27 14:59:36 UTC 2026","","","",""
"","93","Verify 403 Forbidden for ROLE_USER with pref 'LIKES' and period 'MONTHLY'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:59 UTC 2026","passed","Fri Mar 27 14:57:59 UTC 2026","","test_forbidden_user_notif_pref","",""
"","2031","Validate eco news retrieval by ID with different languages -- @1.4 ","","Fri Mar 27 14:58:28 UTC 2026","passed","Fri Mar 27 14:58:30 UTC 2026","","","",""
"","1","API returns empty mutual friends list","","Fri Mar 27 15:02:16 UTC 2026","skipped","Fri Mar 27 15:02:16 UTC 2026","","","",""
"","556","Verify that user cannot like or dislike own comments.","tests.api.event_comment_tests","Fri Mar 27 14:56:59 UTC 2026","passed","Fri Mar 27 14:57:00 UTC 2026","","test_verify_user_cannot_like_dislike_own_comment","",""
"Test of dislike of eco new","123","Dislike eco new by id.","tests.api.news_api_tests","Fri Mar 27 14:57:27 UTC 2026","passed","Fri Mar 27 14:57:27 UTC 2026","","test_dislike_eco_new","",""
"Verify slider respects minimum and maximum boundaries when moved.","4181","test_slider_respects_boundaries[chrome]","tests.ui.my_habit_tests","Fri Mar 27 15:03:52 UTC 2026","passed","Fri Mar 27 15:03:56 UTC 2026","","test_slider_boundaries","",""
"Test for forbidden update of social network image","92","Check updating social network image without permission","tests.api.management-social-network-images-controller_tests","Fri Mar 27 14:57:21 UTC 2026","passed","Fri Mar 27 14:57:21 UTC 2026","","test_update_social_network_image_forbidden","",""
"Test get user dto by principal from access token","80","Verify response with access token","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:13 UTC 2026","failed","Fri Mar 27 14:57:13 UTC 2026","","test_update_user_by_user_management","",""
"","94","Verify 403 Forbidden for ROLE_USER with pref 'INVITES' and period 'TWICE_A_DAY'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:57 UTC 2026","passed","Fri Mar 27 14:57:57 UTC 2026","","test_forbidden_user_notif_pref","",""
"","2737","Update user with valid and invalid data -- @1.11 ","","Fri Mar 27 15:01:16 UTC 2026","failed","Fri Mar 27 15:01:19 UTC 2026","","","",""
"","2554","Validate eco news retrieval by ID with different languages -- @1.20 ","","Fri Mar 27 14:59:04 UTC 2026","passed","Fri Mar 27 14:59:07 UTC 2026","","","",""
"","1","Forbidden access","","Fri Mar 27 15:02:16 UTC 2026","skipped","Fri Mar 27 15:02:16 UTC 2026","","","",""
"","2603","Get habit assignments for current user with incorrect language code","","Fri Mar 27 15:01:49 UTC 2026","passed","Fri Mar 27 15:01:52 UTC 2026","","","",""
"","4966","User likes or unlikes a news article from the one news page","","Fri Mar 27 15:04:00 UTC 2026","skipped","Fri Mar 27 15:04:05 UTC 2026","","","",""
"Test habit deletion without logging","309","Test habit deletion without logging and correct assigned id","tests.api.habit_api_tests","Fri Mar 27 14:57:19 UTC 2026","passed","Fri Mar 27 14:57:19 UTC 2026","","test_habit_deletion","",""
"","1","User has no permission to delete social network","","Fri Mar 27 15:02:16 UTC 2026","skipped","Fri Mar 27 15:02:16 UTC 2026","","","",""
"","7627","Adjusting habit durations with the slider -- @1.1 ","","Fri Mar 27 15:06:11 UTC 2026","passed","Fri Mar 27 15:06:19 UTC 2026","","","",""
"","84","Verify 403 Forbidden for ROLE_USER with pref 'LIKES' and period 'TWICE_A_DAY'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:57 UTC 2026","passed","Fri Mar 27 14:57:57 UTC 2026","","test_forbidden_user_notif_pref","",""
"","3756","Verify scrolling or pagination of friends list","","Fri Mar 27 15:05:16 UTC 2026","passed","Fri Mar 27 15:05:20 UTC 2026","","","",""
"Test for validation of correctness of DELETE request.","122","Delete eco new by id.","tests.api.news_api_tests","Fri Mar 27 14:57:24 UTC 2026","passed","Fri Mar 27 14:57:24 UTC 2026","","test_delete_eco_new_by_id","",""
"","1","User has no permission","","Fri Mar 27 14:59:57 UTC 2026","skipped","Fri Mar 27 14:59:57 UTC 2026","","","",""
"","93","Verify 403 Forbidden for ROLE_USER with pref 'SYSTEM' and period 'NEVER'","tests.api.user_notification_preference_tests","Fri Mar 27 14:57:59 UTC 2026","passed","Fri Mar 27 14:57:59 UTC 2026","","test_forbidden_user_notif_pref","",""
"","2076","API returns eco news list with valid filters -- @1.2 ","","Fri Mar 27 14:57:56 UTC 2026","passed","Fri Mar 27 14:57:58 UTC 2026","","","",""
"","1","Successfully retrieve Google Security configuration","","Fri Mar 27 14:59:57 UTC 2026","skipped","Fri Mar 27 14:59:57 UTC 2026","","","",""
"","2142","Create eco news with valid data -- @1.3 ","","Fri Mar 27 14:57:05 UTC 2026","broken","Fri Mar 27 14:57:07 UTC 2026","","","",""
"","2440","Update user without valid access token -- @1.1 ","","Fri Mar 27 15:01:19 UTC 2026","passed","Fri Mar 27 15:01:21 UTC 2026","","","",""
"","15596","Successfully adding a new custom item","","Fri Mar 27 15:05:45 UTC 2026","passed","Fri Mar 27 15:06:01 UTC 2026","","","",""
"","2770","Add eco news to favorites by id -- @1.3 ","","Fri Mar 27 14:56:51 UTC 2026","failed","Fri Mar 27 14:56:54 UTC 2026","","","",""
"","1","Check if user liked eco news by id -- @1.4 ","","Fri Mar 27 14:59:57 UTC 2026","skipped","Fri Mar 27 14:59:57 UTC 2026","","","",""
"Test get habit assignments for current user with incorrect language code","128","Test user can't retrieve habit assignments with incorrect language code","tests.api.habit_api_tests","Fri Mar 27 14:57:15 UTC 2026","passed","Fri Mar 27 14:57:15 UTC 2026","","test_get_all_habit_assignments_for_current_user","",""
"","2039","Filter users without access token -- @1.2 ","","Fri Mar 27 15:00:09 UTC 2026","passed","Fri Mar 27 15:00:11 UTC 2026","","","",""
"Test like one news page like one news","84","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 14:57:33 UTC 2026","passed","Fri Mar 27 14:57:33 UTC 2026","","test_get_eco_news_by_id","",""
"","2185","Update user with valid and invalid data -- @1.3 ","","Fri Mar 27 15:01:25 UTC 2026","failed","Fri Mar 27 15:01:27 UTC 2026","","","",""
"Test eco news request expecting error","77","Verify proper responses when use invalid query params","tests.api.news_api_tests","Fri Mar 27 14:57:30 UTC 2026","passed","Fri Mar 27 14:57:30 UTC 2026","","test_find_eco_news_by_page","",""
"Test get habit assignments for current user with supported language codes","319","Test user can retrieve habit assignments with supported language codes","tests.api.habit_api_tests","Fri Mar 27 14:57:14 UTC 2026","failed","Fri Mar 27 14:57:15 UTC 2026","","test_get_all_habit_assignments_for_current_user","",""
"","2127","Filter users with invalid parameters -- @1.12 ","","Fri Mar 27 15:00:42 UTC 2026","failed","Fri Mar 27 15:00:44 UTC 2026","","","",""
"","0","User has no permission to check like status","","Fri Mar 27 14:59:57 UTC 2026","skipped","Fri Mar 27 14:59:57 UTC 2026","","","",""
"Test like one news page like one news","92","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 14:57:36 UTC 2026","passed","Fri Mar 27 14:57:36 UTC 2026","","test_get_eco_news_by_id","",""
"","4050","User navigates to Eco News page","","Fri Mar 27 15:04:29 UTC 2026","failed","Fri Mar 27 15:04:33 UTC 2026","","","",""
"","2389","API returns an error when invalid query parameters are used -- @1.4 ","","Fri Mar 27 14:57:48 UTC 2026","passed","Fri Mar 27 14:57:50 UTC 2026","","","",""
"","2979","Update user with valid and invalid data -- @1.4 ","","Fri Mar 27 15:01:27 UTC 2026","failed","Fri Mar 27 15:01:30 UTC 2026","","","",""
"Test for validation of correctness of DELETE request.","118","Delete eco new by id.","tests.api.news_api_tests","Fri Mar 27 14:57:23 UTC 2026","passed","Fri Mar 27 14:57:23 UTC 2026","","test_delete_eco_new_by_id","",""
"Test like one news page like one news","104","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 14:57:32 UTC 2026","passed","Fri Mar 27 14:57:32 UTC 2026","","test_get_eco_news_by_id","",""
"Test of dislike of eco new","106","Get summary eco new by id.","tests.api.news_api_tests","Fri Mar 27 14:57:42 UTC 2026","passed","Fri Mar 27 14:57:42 UTC 2026","","test_user_like_oneco_new","",""
"Test get user dto by principal from access token","93","Verify invalid response","tests.api.greencity_user_api.user_controller","Fri Mar 27 14:57:06 UTC 2026","failed","Fri Mar 27 14:57:06 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"","2136","Update user with valid and invalid data -- @1.2 ","","Fri Mar 27 15:01:22 UTC 2026","failed","Fri Mar 27 15:01:25 UTC 2026","","","",""
"Negative security tests: verify regular user receives 403 on restricted email endpoints.","83","Security: Verify regular user gets 403 when trying to send interesting Eco News email","tests.api.email_api_tests","Fri Mar 27 14:56:55 UTC 2026","passed","Fri Mar 27 14:56:55 UTC 2026","","test_email","",""
"Test eco news request expecting error","84","Verify proper responses when use invalid query params","tests.api.news_api_tests","Fri Mar 27 14:57:29 UTC 2026","passed","Fri Mar 27 14:57:30 UTC 2026","","test_find_eco_news_by_page","",""
"","2974","Validate eco news retrieval by ID with different languages -- @1.7 ","","Fri Mar 27 14:58:35 UTC 2026","passed","Fri Mar 27 14:58:38 UTC 2026","","","",""
"Test for validation of like or remove of like for eco new by id","129","Like or unlike new by id.","tests.api.news_api_tests","Fri Mar 27 14:57:38 UTC 2026","passed","Fri Mar 27 14:57:38 UTC 2026","","test_like_remove_like_eco_new_by_id","",""
