"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test for validation of like or remove of like for eco new by id","142","Like or unlike new by id.","tests.api.news_api_tests","Thu Mar 12 16:21:56 UTC 2026","passed","Thu Mar 12 16:21:56 UTC 2026","","test_like_remove_like_eco_new_by_id","",""
"Test like one news page like one news","54","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:54 UTC 2026","passed","Thu Mar 12 16:21:54 UTC 2026","","test_get_eco_news_by_id","",""
"This test verifies that a user cannot successfully create eco news, because of invalid data. ","1836","Test Validation: Create Eco News with Invalid Data. Open Create Eco News page.","tests.ui.news_pages_tests","Thu Mar 12 16:25:46 UTC 2026","broken","Thu Mar 12 16:25:48 UTC 2026","","test_create_eco_news_with_invalid_data","",""
"Function to test header navigation.","2451","Header navigation test.","tests.ui.header_navigation_tests","Thu Mar 12 16:24:39 UTC 2026","passed","Thu Mar 12 16:24:41 UTC 2026","","test_header_navigation","",""
"Test like one news page like one news","55","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:53 UTC 2026","passed","Thu Mar 12 16:21:53 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","53","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:55 UTC 2026","passed","Thu Mar 12 16:21:55 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","57","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:54 UTC 2026","passed","Thu Mar 12 16:21:54 UTC 2026","","test_get_eco_news_by_id","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","12090","Update basic profile information","tests.ui.edit_profile_page_tests","Thu Mar 12 16:22:27 UTC 2026","broken","Thu Mar 12 16:22:39 UTC 2026","","test_edit_profile_info","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","339","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:52 UTC 2026","passed","Thu Mar 12 16:21:52 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","153","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:53 UTC 2026","passed","Thu Mar 12 16:21:54 UTC 2026","","test_get_eco_news_by_id","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Thu Mar 12 16:21:59 UTC 2026","passed","Thu Mar 12 16:21:59 UTC 2026","","test_stub","",""
"Verify slider respects minimum and maximum boundaries when moved.","10018","test_slider_respects_boundaries[chrome]","tests.ui.my_habit_tests","Thu Mar 12 16:25:03 UTC 2026","broken","Thu Mar 12 16:25:13 UTC 2026","","test_slider_boundaries","",""
"Test like one news page like one news","57","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:53 UTC 2026","passed","Thu Mar 12 16:21:53 UTC 2026","","test_get_eco_news_by_id","",""
"Test that 'Habit title' field is required.","377","Check that user is not able to submit a form on the Create Habit page after leaving the 'Title' field empty","tests.ui.habit_form_tests","Thu Mar 12 16:24:30 UTC 2026","passed","Thu Mar 12 16:24:31 UTC 2026","","test_required_title","",""
"Test like one news page like one news","233","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:53 UTC 2026","passed","Thu Mar 12 16:21:53 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","49","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:53 UTC 2026","passed","Thu Mar 12 16:21:53 UTC 2026","","test_get_eco_news_by_id","",""
"Test for validation of like or remove of like for eco new by id","73","Like or unlike new by id.","tests.api.news_api_tests","Thu Mar 12 16:21:56 UTC 2026","passed","Thu Mar 12 16:21:56 UTC 2026","","test_like_remove_like_eco_new_by_id","",""
"Test like one news page like one news","48","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:55 UTC 2026","passed","Thu Mar 12 16:21:55 UTC 2026","","test_get_eco_news_by_id","",""
"TC-FR-03: Accept friend request and verify it appears in My Friends after refresh.","13246","TC-FR-03: Accept friend request","tests.ui.friend_request_page_tests","Thu Mar 12 16:23:53 UTC 2026","broken","Thu Mar 12 16:24:07 UTC 2026","","test_fr_accept_friend_request","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","57","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:52 UTC 2026","passed","Thu Mar 12 16:21:53 UTC 2026","","test_find_eco_news_by_page","",""
"Test for successful habit creation.","1193","Check that user is able to create a new habit card by filling in all required fields on the Create habit page","tests.ui.habit_form_tests","Thu Mar 12 16:24:35 UTC 2026","passed","Thu Mar 12 16:24:36 UTC 2026","","test_successful_habit_creation","",""
"Test habit assignment by habit ID","185","Test habit assignment with login","tests.api.habit_api_tests","Thu Mar 12 16:21:47 UTC 2026","passed","Thu Mar 12 16:21:48 UTC 2026","","test_habit_assignment","",""
"Test like one news page like one news","55","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:53 UTC 2026","passed","Thu Mar 12 16:21:53 UTC 2026","","test_get_eco_news_by_id","",""
"Test habit assignment by habit ID","75","Test habit assignment with login","tests.api.habit_api_tests","Thu Mar 12 16:21:48 UTC 2026","passed","Thu Mar 12 16:21:48 UTC 2026","","test_habit_assignment","",""
"Test like one news page like one news","48","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:55 UTC 2026","passed","Thu Mar 12 16:21:55 UTC 2026","","test_get_eco_news_by_id","",""
"Verify user can update privacy settings on Edit Profile page and changes are saved successfully.","11793","Update profile privacy settings","tests.ui.edit_profile_page_tests","Thu Mar 12 16:23:12 UTC 2026","broken","Thu Mar 12 16:23:24 UTC 2026","","test_update_privacy_settings","",""
"Test to verify get mutual friends.","0","Verify user can get list of mutual friends via API.","tests.api.friends_api_test","Thu Mar 12 16:21:46 UTC 2026","skipped","Thu Mar 12 16:21:46 UTC 2026","","test_mutual_friends","",""
"Test habit assignment by habit ID","251","Test habit assignment with login","tests.api.habit_api_tests","Thu Mar 12 16:21:48 UTC 2026","passed","Thu Mar 12 16:21:48 UTC 2026","","test_habit_assignment","",""
"Test habit deletion by habit assigned ID","321","test_delete_assigned_habit[delete assigned habit0]","tests.api.habit_api_tests","Thu Mar 12 16:21:49 UTC 2026","passed","Thu Mar 12 16:21:49 UTC 2026","","test_habit_assignment","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","55","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:52 UTC 2026","passed","Thu Mar 12 16:21:52 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","263","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:55 UTC 2026","passed","Thu Mar 12 16:21:55 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","50","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 12 16:21:55 UTC 2026","passed","Thu Mar 12 16:21:55 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","12910","Test like one news on one news page","tests.ui.news_pages_tests","Thu Mar 12 16:25:55 UTC 2026","broken","Thu Mar 12 16:26:08 UTC 2026","","test_one_news_page_like_one_news","",""
