"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check slider working","3585","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Wed Mar 04 11:26:35 UTC 2026","passed","Wed Mar 04 11:26:38 UTC 2026","","test_slider_keyboard_interaction","",""
"Test like one news page like one news","157","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 11:24:05 UTC 2026","passed","Wed Mar 04 11:24:05 UTC 2026","","test_eco_news_get_client_request","",""
"Test like one news page like one news","279","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 11:24:07 UTC 2026","passed","Wed Mar 04 11:24:07 UTC 2026","","test_eco_news_get_client_request","",""
"Test eco news request expecting error","275","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 11:24:05 UTC 2026","passed","Wed Mar 04 11:24:05 UTC 2026","","test_eco_news_get_client_request","",""
"Function to test header navigation.","2458","Header navigation test.","tests.ui.header_navigation_tests","Wed Mar 04 11:26:05 UTC 2026","passed","Wed Mar 04 11:26:08 UTC 2026","","test_header_navigation","",""
"Test that 'Habit description' textarea is required.","336","Check that user is not able to submit a form on the Create Habit page after leaving the 'Habit description' textarea empty","tests.ui.habit_form_tests","Wed Mar 04 11:25:48 UTC 2026","passed","Wed Mar 04 11:25:49 UTC 2026","","test_required_description","",""
"This test verifies that a user, who is not signed in, sees the correct behavior after clicking on buttons in vision cards on the page.","3946","Test Validation: Click buttons in the vision card before sign in.","tests.ui.about_us_page_tests","Wed Mar 04 11:24:24 UTC 2026","broken","Wed Mar 04 11:24:28 UTC 2026","","test_about_us_page_nosingin_cards_buttons_check","",""
"Test like one news page like one news","2973","Test like one news on one news page","tests.ui.news_pages_tests","Wed Mar 04 11:26:57 UTC 2026","passed","Wed Mar 04 11:27:00 UTC 2026","","test_one_news_page_like_one_news","",""
"We check possibility add field into to do list of some special habit","13068","Add custom item into to_do_list","tests.ui.my_habit_tests","Wed Mar 04 11:26:11 UTC 2026","passed","Wed Mar 04 11:26:24 UTC 2026","","test_one_event_page_add_custom_item_in_to_do_list","",""
"Check slider working","6130","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Wed Mar 04 11:26:27 UTC 2026","passed","Wed Mar 04 11:26:33 UTC 2026","","test_slider_boundaries","",""
"Test eco news request expecting error","257","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 11:24:04 UTC 2026","passed","Wed Mar 04 11:24:05 UTC 2026","","test_eco_news_get_client_request","",""
