"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","2321","Update basic profile information","tests.ui","Fri Feb 27 13:37:04 UTC 2026","broken","Fri Feb 27 13:37:07 UTC 2026","","test_edit_profile_info","",""
"Check slider working","5764","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Fri Feb 27 13:36:32 UTC 2026","passed","Fri Feb 27 13:36:38 UTC 2026","","test_slider_boundaries","",""
"A simple smoke test that always passes.","1563","Smoke test for the main page","tests.ui","Fri Feb 27 13:37:08 UTC 2026","broken","Fri Feb 27 13:37:10 UTC 2026","","test_smoke","",""
"This test verifies that a user can successfully open pages after clicking on buttons in vision cards on the page. ","2639","Test Validation: Click buttons in the vision card after sing in.","tests.ui.about_us_page_tests","Fri Feb 27 13:35:42 UTC 2026","passed","Fri Feb 27 13:35:44 UTC 2026","","test_about_us_page_singin_vision_cards_buttons_check","",""
"Change language test for main page.","21","Verify language switching (UA <-> EN) in Header","tests.ui","Fri Feb 27 13:37:02 UTC 2026","broken","Fri Feb 27 13:37:02 UTC 2026","","test_change_language","",""
"Test Friend Page search.","12074","Search friend requests by partial username","tests.ui.friend_request_page_tests","Fri Feb 27 13:35:48 UTC 2026","skipped","Fri Feb 27 13:36:00 UTC 2026","","test_friend_requests_search","",""
"Check slider working","2545","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Fri Feb 27 13:36:41 UTC 2026","passed","Fri Feb 27 13:36:44 UTC 2026","","test_slider_keyboard_interaction","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Fri Feb 27 13:35:33 UTC 2026","passed","Fri Feb 27 13:35:33 UTC 2026","","test_stub","",""
"Test like one news page like one news","1584","Test like one news on one news page","tests.ui.news_pages_tests","Fri Feb 27 13:36:58 UTC 2026","broken","Fri Feb 27 13:36:59 UTC 2026","","test_one_news_page_like_one_news","",""
"This test verifies that a user can successfully create eco new. ","3118","Test Validation: Create Eco News with Valid Data.","tests.ui.news_pages_tests","Fri Feb 27 13:36:51 UTC 2026","passed","Fri Feb 27 13:36:55 UTC 2026","","test_create_eco_news_with_valid_data","",""
"This test verifies that a user cannot successfully create eco news, because of invalid data. ","2217","Test Validation: Create Eco News with Invalid Data. Open Create Eco News page.","tests.ui.news_pages_tests","Fri Feb 27 13:36:47 UTC 2026","passed","Fri Feb 27 13:36:49 UTC 2026","","test_create_eco_news_with_invalid_data","",""
"Function to test header navigation.","2615","Header navigation test.","tests.ui.header_navigation_tests","Fri Feb 27 13:36:11 UTC 2026","passed","Fri Feb 27 13:36:14 UTC 2026","","test_header_navigation","",""
"This test verifies that a user can successfully click on form habit buttons. ","3088","Test Validation: About Us Page Buttons Verification.","tests.ui.about_us_page_tests","Fri Feb 27 13:35:36 UTC 2026","broken","Fri Feb 27 13:35:39 UTC 2026","","test_about_us_page_buttons_verification","",""
"Check that user is able to create a new habit card by
    filling in all required fields on the Create habit page.","1194","Test for successful habit creation","tests.ui.habit_form_tests","Fri Feb 27 13:36:06 UTC 2026","passed","Fri Feb 27 13:36:08 UTC 2026","","test_successful_habit_creation","",""
"We check possibility add field into to do list of some special habit","12760","Add custom item into to_do_list","tests.ui.my_habit_tests","Fri Feb 27 13:36:17 UTC 2026","broken","Fri Feb 27 13:36:29 UTC 2026","","test_one_event_page_add_custom_item_in_to_do_list","",""
