"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user can update privacy settings on Edit Profile page and changes are saved successfully.","12213","Update profile privacy settings","tests.ui.edit_profile_page_tests","Mon Mar 16 19:51:35 UTC 2026","broken","Mon Mar 16 19:51:47 UTC 2026","","test_update_privacy_settings","",""
"Test like one news page like one news","56","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:43 UTC 2026","passed","Mon Mar 16 19:49:43 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","47","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:44 UTC 2026","passed","Mon Mar 16 19:49:44 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","800","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:40 UTC 2026","passed","Mon Mar 16 19:49:40 UTC 2026","","test_find_eco_news_by_page","",""
"Check user menu functionality.","1076","User menu check","tests.ui.user_menu_test","Mon Mar 16 19:54:34 UTC 2026","passed","Mon Mar 16 19:54:35 UTC 2026","","test_user_menu","",""
"Test that 'Habit title' field is required.","357","Check that user is not able to submit a form on the Create Habit page after leaving the 'Title' field empty","tests.ui.habit_form_tests","Mon Mar 16 19:52:36 UTC 2026","passed","Mon Mar 16 19:52:36 UTC 2026","","test_required_title","",""
"Check slider working","1082","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Mon Mar 16 19:53:33 UTC 2026","passed","Mon Mar 16 19:53:35 UTC 2026","","test_slider_keyboard_interaction","",""
"This test verifies that a user can successfully create eco new. ","1706","Test Validation: Create Eco News with Valid Data.","tests.ui.news_pages_tests","Mon Mar 16 19:53:58 UTC 2026","broken","Mon Mar 16 19:54:00 UTC 2026","","test_create_eco_news_with_valid_data","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","214","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:39 UTC 2026","passed","Mon Mar 16 19:49:39 UTC 2026","","test_find_eco_news_by_page","",""
"
    Test Objective: Verify that the system correctly triggers and displays
    validation error messages when a user attempts to sign in without entering data.
    ","1552","Verify validation errors when signing in with empty fields","tests.ui.login_testing","Mon Mar 16 19:52:50 UTC 2026","failed","Mon Mar 16 19:52:52 UTC 2026","","Authentication Tests","",""
"This test verifies that a user can successfully navigate between tabs on Saved page. ","2210","Test Validation: Saved Abstract navigation.","tests.ui","Mon Mar 16 19:54:25 UTC 2026","passed","Mon Mar 16 19:54:27 UTC 2026","","test_saved_abstract_navigation","",""
"This test verifies that a user, who is not signed in, sees the correct behavior after clicking on buttons in vision cards on the page.","11273","Test Validation: Click buttons in the vision card before sign in.","tests.ui.about_us_page_tests","Mon Mar 16 19:50:03 UTC 2026","broken","Mon Mar 16 19:50:14 UTC 2026","","test_about_us_page_nosingin_cards_buttons_check","",""
"Test eco news request expecting error","53","Verify proper responses when use invalid query params","tests.api.news_api_tests","Mon Mar 16 19:49:39 UTC 2026","passed","Mon Mar 16 19:49:39 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","50","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:43 UTC 2026","passed","Mon Mar 16 19:49:43 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","54","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:41 UTC 2026","passed","Mon Mar 16 19:49:41 UTC 2026","","test_find_eco_news_by_page","",""
"Test habit assignment without loging","48","test_habit_assignment_without_login","tests.api.habit_api_tests","Mon Mar 16 19:49:36 UTC 2026","passed","Mon Mar 16 19:49:37 UTC 2026","","test_habit_assignment","",""
"A simple smoke test that always passes.","446","Smoke test for the main page","tests.ui","Mon Mar 16 19:54:30 UTC 2026","broken","Mon Mar 16 19:54:31 UTC 2026","","test_smoke","",""
"Test like one news page like one news","46","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:44 UTC 2026","passed","Mon Mar 16 19:49:44 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","50","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:43 UTC 2026","passed","Mon Mar 16 19:49:43 UTC 2026","","test_get_eco_news_by_id","",""
"Change language test for main page.","1111","Verify language switching (UA <-> EN) in Header","tests.ui","Mon Mar 16 19:54:17 UTC 2026","passed","Mon Mar 16 19:54:18 UTC 2026","","test_change_language","",""
"Test that 'Habit description' textarea is required.","324","Check that user is not able to submit a form on the Create Habit page after leaving the 'Habit description' textarea empty","tests.ui.habit_form_tests","Mon Mar 16 19:52:31 UTC 2026","passed","Mon Mar 16 19:52:31 UTC 2026","","test_required_description","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","209","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:41 UTC 2026","passed","Mon Mar 16 19:49:41 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","55","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:43 UTC 2026","passed","Mon Mar 16 19:49:43 UTC 2026","","test_get_eco_news_by_id","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Mon Mar 16 19:49:47 UTC 2026","passed","Mon Mar 16 19:49:47 UTC 2026","","test_stub","",""
"We check possibility add field into to do list of some special habit","11014","Add custom item into to_do_list","tests.ui.my_habit_tests","Mon Mar 16 19:53:10 UTC 2026","broken","Mon Mar 16 19:53:21 UTC 2026","","test_one_event_page_add_custom_item_in_to_do_list","",""
"TC-FR-03: Accept friend request and verify it appears in My Friends after refresh.","12453","TC-FR-03: Accept friend request","tests.ui.friend_request_page_tests","Mon Mar 16 19:52:00 UTC 2026","broken","Mon Mar 16 19:52:13 UTC 2026","","test_fr_accept_friend_request","",""
"Test create eco news request with valid data","242","Create eco new by applying valid parameters to the form.","tests.api","Mon Mar 16 19:49:45 UTC 2026","passed","Mon Mar 16 19:49:45 UTC 2026","","test_create_eco_news_form","",""
"auth login validation","164","Verify successful login, response time, and token validity","tests.api.own-security-controller_tests","Mon Mar 16 19:49:44 UTC 2026","failed","Mon Mar 16 19:49:44 UTC 2026","","test_login_validation","",""
"Test like one news page like one news","262","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:42 UTC 2026","passed","Mon Mar 16 19:49:42 UTC 2026","","test_get_eco_news_by_id","",""
"Test habit deletion by habit assigned ID","72","test_delete_assigned_habit[delete assigned habit1]","tests.api.habit_api_tests","Mon Mar 16 19:49:37 UTC 2026","failed","Mon Mar 16 19:49:37 UTC 2026","","test_habit_assignment","",""
"Test like one news page like one news","54","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:43 UTC 2026","passed","Mon Mar 16 19:49:43 UTC 2026","","test_get_eco_news_by_id","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","12110","Update basic profile information","tests.ui.edit_profile_page_tests","Mon Mar 16 19:50:52 UTC 2026","broken","Mon Mar 16 19:51:04 UTC 2026","","test_edit_profile_info","",""
"Test like one news page like one news","48","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:44 UTC 2026","passed","Mon Mar 16 19:49:44 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","51","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:42 UTC 2026","passed","Mon Mar 16 19:49:42 UTC 2026","","test_get_eco_news_by_id","",""
"Testcase that an authorized user can successfully post a comment and delete it.","556","Verify that an authorized user can successfully leave and delete a comment.","tests.api","Mon Mar 16 19:49:46 UTC 2026","passed","Mon Mar 16 19:49:47 UTC 2026","","test_events_comments","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","386","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:39 UTC 2026","passed","Mon Mar 16 19:49:40 UTC 2026","","test_find_eco_news_by_page","",""
"Test eco news request expecting error","47","Verify proper responses when use invalid query params","tests.api.news_api_tests","Mon Mar 16 19:49:38 UTC 2026","passed","Mon Mar 16 19:49:38 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","48","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:44 UTC 2026","passed","Mon Mar 16 19:49:44 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","210","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:41 UTC 2026","passed","Mon Mar 16 19:49:41 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","47","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:43 UTC 2026","passed","Mon Mar 16 19:49:43 UTC 2026","","test_get_eco_news_by_id","",""
"Test eco news request expecting error","236","Verify proper responses when use invalid query params","tests.api.news_api_tests","Mon Mar 16 19:49:38 UTC 2026","passed","Mon Mar 16 19:49:38 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","60","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:43 UTC 2026","passed","Mon Mar 16 19:49:43 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","175","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:43 UTC 2026","passed","Mon Mar 16 19:49:44 UTC 2026","","test_get_eco_news_by_id","",""
"Test correct navigation to Edit Profile page.","208","Check that user is redirected to Edit Profile page after clicking on the [Edit] button","tests.ui.my_space_pages_tests.my_space_profile_tests","Mon Mar 16 19:53:46 UTC 2026","passed","Mon Mar 16 19:53:46 UTC 2026","","test_navigation_to_edit_profile_page","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","59","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:40 UTC 2026","passed","Mon Mar 16 19:49:40 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","56","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:42 UTC 2026","passed","Mon Mar 16 19:49:42 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","54","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:40 UTC 2026","passed","Mon Mar 16 19:49:40 UTC 2026","","test_find_eco_news_by_page","",""
"Test Friend Page search.","12038","Search friend requests by partial username","tests.ui.friend_request_page_tests","Mon Mar 16 19:52:15 UTC 2026","skipped","Mon Mar 16 19:52:27 UTC 2026","","test_friend_requests_search","",""
"Test like one news page like one news","12315","Test like one news on one news page","tests.ui.news_pages_tests","Mon Mar 16 19:54:02 UTC 2026","broken","Mon Mar 16 19:54:15 UTC 2026","","test_one_news_page_like_one_news","",""
"Test like one news page like one news","54","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:42 UTC 2026","passed","Mon Mar 16 19:49:42 UTC 2026","","test_get_eco_news_by_id","",""
"Check a user is redirected to another Friend page after clicking a friend card","265","Check that a user is redirected to another Friend page after clicking on a friend card on the 'All friends' tab on the Friend page","tests.ui.all_friends_page_tests","Mon Mar 16 19:50:34 UTC 2026","failed","Mon Mar 16 19:50:35 UTC 2026","","test_user_page_navigation_after_clicking_on_card","",""
"Test like one news page like one news","51","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:42 UTC 2026","passed","Mon Mar 16 19:49:42 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","159","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:39 UTC 2026","passed","Mon Mar 16 19:49:39 UTC 2026","","test_find_eco_news_by_page","",""
"","7295","Verify user search, friend request sending, persistence, and cancellation","tests.ui.find_friend_page_tests","Mon Mar 16 19:51:50 UTC 2026","passed","Mon Mar 16 19:51:58 UTC 2026","","test_findfriend_verify_user_search","",""
"Test habit deletion by habit assigned ID","183","test_delete_assigned_habit[delete assigned habit0]","tests.api.habit_api_tests","Mon Mar 16 19:49:37 UTC 2026","failed","Mon Mar 16 19:49:37 UTC 2026","","test_habit_assignment","",""
"Test like one news page like one news","49","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Mon Mar 16 19:49:41 UTC 2026","passed","Mon Mar 16 19:49:41 UTC 2026","","test_get_eco_news_by_id","",""
"Test create eco news request with valid data","538","Create eco new by applying valid parameters to the form.","tests.api","Mon Mar 16 19:49:44 UTC 2026","passed","Mon Mar 16 19:49:45 UTC 2026","","test_create_eco_news_form","",""
