"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A simple smoke test that always passes.","12720","Smoke test for the main page","tests.ui","Wed Feb 18 17:16:16 UTC 2026","passed","Wed Feb 18 17:16:29 UTC 2026","","test_smoke","",""
"This test verifies that a user can successfully open eco news page. ","5669","Test Validation: Create Eco News with Valid Data. Open Create Eco News page.","tests.ui.news_pages_tests","Wed Feb 18 17:15:54 UTC 2026","passed","Wed Feb 18 17:16:00 UTC 2026","","test_create_update_eco_news_page","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Wed Feb 18 17:15:46 UTC 2026","passed","Wed Feb 18 17:15:46 UTC 2026","","test_stub","",""
"Test like one news page like one news","13380","Test like one news on one news page","tests.ui.news_pages_tests","Wed Feb 18 17:16:01 UTC 2026","broken","Wed Feb 18 17:16:15 UTC 2026","","test_one_news_page_like_one_news","",""
