"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test like one news page like one news","197","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:50:44 UTC 2026","passed","Fri Mar 20 11:50:44 UTC 2026","","test_get_eco_news_by_id","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","13932","Update basic profile information","tests.ui.edit_profile_page_tests","Fri Mar 20 11:52:46 UTC 2026","broken","Fri Mar 20 11:53:00 UTC 2026","","test_edit_profile_info","",""
"Test like one news page like one news","201","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:50:48 UTC 2026","passed","Fri Mar 20 11:50:48 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","187","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:50:40 UTC 2026","passed","Fri Mar 20 11:50:41 UTC 2026","","test_get_eco_news_by_id","",""
"We check possibility add field into to do list of some special habit","10894","Add custom item into to_do_list","tests.ui.my_habit_tests","Fri Mar 20 11:55:46 UTC 2026","broken","Fri Mar 20 11:55:57 UTC 2026","","test_one_event_page_add_custom_item_in_to_do_list","",""
"This test verifies that a user can successfully navigate through tabs on friends abstract page. ","4079","Test Validation: friends abstract page navigation through tabs.","tests.ui","Fri Mar 20 11:57:21 UTC 2026","passed","Fri Mar 20 11:57:25 UTC 2026","","test_friends_abstract_navigation","",""
"Test Friend Page search.","13761","Search friend requests by partial username","tests.ui.friend_request_page_tests","Fri Mar 20 11:54:43 UTC 2026","skipped","Fri Mar 20 11:54:57 UTC 2026","","test_friend_requests_search","",""
"Test like one news page like one news","191","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:50:46 UTC 2026","passed","Fri Mar 20 11:50:46 UTC 2026","","test_get_eco_news_by_id","",""
"Check user menu functionality.","1130","User menu check","tests.ui.user_menu_test","Fri Mar 20 11:57:38 UTC 2026","passed","Fri Mar 20 11:57:39 UTC 2026","","test_user_menu","",""
"Test that unauthenticated users cannot access the change password endpoint","200","Unsuccessful password update attempt without authentication (401)","tests.api.own-security-controller_tests","Fri Mar 20 11:50:57 UTC 2026","passed","Fri Mar 20 11:50:57 UTC 2026","","test_password_update","",""
"Test like one news page like one news","212","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:50:44 UTC 2026","passed","Fri Mar 20 11:50:44 UTC 2026","","test_get_eco_news_by_id","",""
"This test verifies that a user can successfully navigate between tabs on Saved page. ","3542","Test Validation: Saved Abstract navigation.","tests.ui","Fri Mar 20 11:57:27 UTC 2026","passed","Fri Mar 20 11:57:30 UTC 2026","","test_saved_abstract_navigation","",""
"Test of dislike of eco new","219","Get summary eco new by id.","tests.api.news_api_tests","Fri Mar 20 11:50:53 UTC 2026","passed","Fri Mar 20 11:50:53 UTC 2026","","test_user_like_oneco_new","",""
"Test like one news page like one news","197","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:50:48 UTC 2026","passed","Fri Mar 20 11:50:48 UTC 2026","","test_get_eco_news_by_id","",""
"Test create eco news request with valid data","383","Create eco new by applying valid parameters to the form.","tests.api","Fri Mar 20 11:51:03 UTC 2026","passed","Fri Mar 20 11:51:03 UTC 2026","","test_create_eco_news_form","",""
"Testing of social networks image get request using invalid url","202","test_social_networks_get_image_invalid[https://picsum.photos/404-404-message-Page is not found]","tests.api.social_networks","Fri Mar 20 11:51:00 UTC 2026","failed","Fri Mar 20 11:51:01 UTC 2026","","test_social_network_image","",""
