"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that 'Habit description' textarea is required.","331","Check that user is not able to submit a form on the Create Habit page after leaving the 'Habit description' textarea empty","tests.ui.habit_form_tests","Wed Mar 18 17:34:57 UTC 2026","passed","Wed Mar 18 17:34:58 UTC 2026","","test_required_description","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","170","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 18 17:30:58 UTC 2026","passed","Wed Mar 18 17:30:59 UTC 2026","","test_find_eco_news_by_page","",""
"Test habit assignment by habit ID","139","Test habit assignment with login","tests.api.habit_api_tests","Wed Mar 18 17:30:51 UTC 2026","passed","Wed Mar 18 17:30:51 UTC 2026","","test_habit_assignment","",""
"Test like one news page like one news","99","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 18 17:30:59 UTC 2026","passed","Wed Mar 18 17:30:59 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","104","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 18 17:31:02 UTC 2026","passed","Wed Mar 18 17:31:02 UTC 2026","","test_get_eco_news_by_id","",""
"Change language test for main page.","1173","Verify language switching (UA <-> EN) in Header","tests.ui","Wed Mar 18 17:37:03 UTC 2026","passed","Wed Mar 18 17:37:04 UTC 2026","","test_change_language","",""
"This test verifies that a user can successfully click on form habit buttons. ","2684","Test Validation: About Us Page Buttons Verification.","tests.ui.about_us_page_tests","Wed Mar 18 17:31:18 UTC 2026","passed","Wed Mar 18 17:31:21 UTC 2026","","test_about_us_page_buttons_verification","",""
"Test for deletion of social_network by id verification","116","Check user access to the deletion of social media.","tests.api.social_networks","Wed Mar 18 17:31:06 UTC 2026","passed","Wed Mar 18 17:31:06 UTC 2026","","test_delete_social_network","",""
"Test like one news page like one news","92","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 18 17:31:02 UTC 2026","passed","Wed Mar 18 17:31:02 UTC 2026","","test_get_eco_news_by_id","",""
"This test verifies that a user can successfully open pages after clicking on buttons in vision cards on the page. ","4563","Test Validation: Click buttons in the vision card after sing in.","tests.ui.about_us_page_tests","Wed Mar 18 17:31:30 UTC 2026","passed","Wed Mar 18 17:31:35 UTC 2026","","test_about_us_page_singin_vision_cards_buttons_check","",""
"Test create eco news request with valid data","274","Create eco new by applying valid parameters to the form.","tests.api","Wed Mar 18 17:31:07 UTC 2026","passed","Wed Mar 18 17:31:07 UTC 2026","","test_create_eco_news_form","",""
