"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test for successful habit creation.","1627","Check that user is able to create a new habit card by filling in all required fields on the Create habit page","tests.ui.habit_form_tests","Thu Apr 02 10:17:08 UTC 2026","passed","Thu Apr 02 10:17:10 UTC 2026","","test_successful_habit_creation","",""
"","2253","Try to delete social network without permission -- @1.4 ","","Thu Apr 02 10:21:52 UTC 2026","failed","Thu Apr 02 10:21:54 UTC 2026","","","",""
"","85","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'WEEKLY'","tests.api.user_notification_preference_tests","Thu Apr 02 10:15:09 UTC 2026","passed","Thu Apr 02 10:15:09 UTC 2026","","test_forbidden_user_notif_pref","",""
"Testcase that an anonymous user cannot post a comment on an event.","112","Verify that an unauthorized user cannot leave a comment","tests.api.event_comment_tests","Thu Apr 02 10:14:52 UTC 2026","passed","Thu Apr 02 10:14:52 UTC 2026","","test_unauthorized_comment","",""
"","2858","Update eco news with invalid data -- @1.2 ","","Thu Apr 02 10:18:18 UTC 2026","failed","Thu Apr 02 10:18:20 UTC 2026","","","",""
"Test create eco news request with invalid data","189","Update eco new by applying invalid parameters to the form.","tests.api.news_api_tests","Thu Apr 02 10:15:06 UTC 2026","passed","Thu Apr 02 10:15:06 UTC 2026","","test_update_eco_new_by_id","",""
"","2223","Delete eco news by id with invalid or restricted access -- @1.3 ","","Thu Apr 02 10:15:18 UTC 2026","failed","Thu Apr 02 10:15:20 UTC 2026","","","",""
"","2867","Get user dto with invalid access token","","Thu Apr 02 10:19:38 UTC 2026","passed","Thu Apr 02 10:19:41 UTC 2026","","","",""
"","3441","Filter users with valid parameters -- @1.3 ","","Thu Apr 02 10:18:38 UTC 2026","passed","Thu Apr 02 10:18:42 UTC 2026","","","",""
"Test for validation of like or remove of like for eco new by id","198","Like or unlike new by id.","tests.api.news_api_tests","Thu Apr 02 10:15:04 UTC 2026","passed","Thu Apr 02 10:15:04 UTC 2026","","test_like_remove_like_eco_new_by_id","",""
"
    TC-FR-02:
    Verify Requests tab shows empty state when user has no pending requests,
    and it remains after page refresh.
    ","14588","TC-FR-02: Requests tab is empty and stays empty after refresh","tests.ui.friend_request_page_tests","Thu Apr 02 10:17:02 UTC 2026","broken","Thu Apr 02 10:17:16 UTC 2026","","test_open_requests_tab","",""
"","0","Page refresh resets unsaved changes","","Thu Apr 02 10:27:46 UTC 2026","skipped","Thu Apr 02 10:27:46 UTC 2026","","","",""
"Test various validation errors during password update","117","Password update validation: Mismatched passwords","tests.api.own-security-controller_tests","Thu Apr 02 10:15:07 UTC 2026","passed","Thu Apr 02 10:15:07 UTC 2026","","test_password_update","",""
