"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3860","Add eco news to favorites by id -- @1.1 ","","Wed Apr 15 21:39:42 UTC 2026","passed","Wed Apr 15 21:39:45 UTC 2026","","","",""
"","1972","Validate eco news retrieval by ID with different languages -- @1.5 ","","Wed Apr 15 21:41:35 UTC 2026","passed","Wed Apr 15 21:41:37 UTC 2026","","","",""
"","63","Verify 403 Forbidden for ROLE_USER with pref 'PLACES' and period 'MONTHLY'","tests.api.user_notification_preference_tests","Wed Apr 15 21:40:08 UTC 2026","passed","Wed Apr 15 21:40:08 UTC 2026","","test_forbidden_user_notif_pref","",""
"Test get user dto by principal from access token","125","Verify response with access token","tests.api.greencity_user_api.user_controller","Wed Apr 15 21:39:46 UTC 2026","failed","Wed Apr 15 21:39:46 UTC 2026","","test_update_user","",""
"Test get user dto by principal from access token","54","Verify invalid response","tests.api.greencity_user_api.user_controller","Wed Apr 15 21:39:48 UTC 2026","failed","Wed Apr 15 21:39:48 UTC 2026","","test_filter_all_user_by_search_criteria","",""
"Test of dislike of eco new","101","Get summary eco new by id.","tests.api.news_api_tests","Wed Apr 15 21:40:06 UTC 2026","passed","Wed Apr 15 21:40:06 UTC 2026","","test_user_like_oneco_new","",""
"","7572","Successfully create a habit with mandatory fields","","Wed Apr 15 21:48:01 UTC 2026","passed","Wed Apr 15 21:48:09 UTC 2026","","","",""
"Test get habit assignments for current user without access token","60","Test user can't retrieve habit assignments without access token","tests.api.habit_api_tests","Wed Apr 15 21:39:48 UTC 2026","passed","Wed Apr 15 21:39:48 UTC 2026","","test_get_all_habit_assignments_for_current_user","",""
"TC-EN-02: Open Eco News article and verify One News page details are displayed.","2366","TC-EN-02: Open Eco News article and verify details","tests.ui.news_pages_tests","Wed Apr 15 21:43:23 UTC 2026","passed","Wed Apr 15 21:43:25 UTC 2026","","test_open_one_news_page","",""
"Test like one news page like one news","74","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Wed Apr 15 21:39:53 UTC 2026","passed","Wed Apr 15 21:39:53 UTC 2026","","test_get_eco_news_by_id","",""
"Test for validation of Google security authentication.","76","test_google_security[GREENCITY-uk-200--]","tests.api","Wed Apr 15 21:40:05 UTC 2026","failed","Wed Apr 15 21:40:05 UTC 2026","","test_google_security","",""
"","2534","Delete eco news from favorites by id -- @1.2 ","","Wed Apr 15 21:40:25 UTC 2026","failed","Wed Apr 15 21:40:27 UTC 2026","","","",""
"Test like one news page like one news","73","Test eco news get by id request's response returns correct data format","tests.api.news_api_tests","Wed Apr 15 21:39:52 UTC 2026","passed","Wed Apr 15 21:39:52 UTC 2026","","test_get_eco_news_by_id","",""
"","6242","User navigates to Eco News page","","Wed Apr 15 21:50:43 UTC 2026","failed","Wed Apr 15 21:50:49 UTC 2026","","","",""
"","46","Verify 403 Forbidden for ROLE_USER with pref 'INVITES' and period 'TWICE_A_DAY'","tests.api.user_notification_preference_tests","Wed Apr 15 21:40:07 UTC 2026","passed","Wed Apr 15 21:40:07 UTC 2026","","test_forbidden_user_notif_pref","",""
"","1960","Validate eco news retrieval by ID with different languages -- @1.4 ","","Wed Apr 15 21:41:33 UTC 2026","passed","Wed Apr 15 21:41:35 UTC 2026","","","",""
"This test verifies that the user can successfully open partners pages. ","7013","Open partners pages by clicking on buttons","tests.ui.ubs_courier_page_tests","Wed Apr 15 21:43:52 UTC 2026","passed","Wed Apr 15 21:43:59 UTC 2026","","test_partners_buttons","",""
"","2721","Dislike eco news by id -- @1.5 ","","Wed Apr 15 21:40:45 UTC 2026","broken","Wed Apr 15 21:40:48 UTC 2026","","","",""
"","2496","Update user with valid and invalid data -- @1.2 ","","Wed Apr 15 21:44:42 UTC 2026","failed","Wed Apr 15 21:44:44 UTC 2026","","","",""
"Test that unauthenticated users cannot access the change password endpoint","49","Unsuccessful password update attempt without authentication (401)","tests.api.own-security-controller_tests","Wed Apr 15 21:40:03 UTC 2026","passed","Wed Apr 15 21:40:03 UTC 2026","","test_password_update","",""
"","3378","Create eco news with valid data -- @1.3 ","","Wed Apr 15 21:40:05 UTC 2026","passed","Wed Apr 15 21:40:09 UTC 2026","","","",""
"","126","Get random fact of the day and validate schema","tests.api.fact_of_the_day_tests","Wed Apr 15 21:39:54 UTC 2026","passed","Wed Apr 15 21:39:54 UTC 2026","","test_get_fact_of_the_day","",""
"","2387","Try to delete a habit with invalid or non-existent ID -- @1.2 ","","Wed Apr 15 21:45:29 UTC 2026","passed","Wed Apr 15 21:45:32 UTC 2026","","","",""
