"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a user cannot successfully create eco news, because of invalid data. ","2959","Test Validation: Create Eco News with Invalid Data. Open Create Eco News page.","tests.ui.news_pages_tests","Wed Mar 04 10:56:40 UTC 2026","broken","Wed Mar 04 10:56:43 UTC 2026","","test_create_eco_news_with_invalid_data","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","13364","Update basic profile information","tests.ui.edit_profile_page_tests","Wed Mar 04 10:54:31 UTC 2026","broken","Wed Mar 04 10:54:44 UTC 2026","","test_edit_profile_info","",""
"Test eco news request expecting error","302","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 10:53:49 UTC 2026","passed","Wed Mar 04 10:53:49 UTC 2026","","test_eco_news_get_client_request","",""
"This test verifies that a user can successfully create eco new. ","1702","Test Validation: Create Eco News with Valid Data.","tests.ui.news_pages_tests","Wed Mar 04 10:56:45 UTC 2026","broken","Wed Mar 04 10:56:47 UTC 2026","","test_create_eco_news_with_valid_data","",""
"Test like one news page like one news","350","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 10:53:50 UTC 2026","passed","Wed Mar 04 10:53:50 UTC 2026","","test_eco_news_get_client_request","",""
"This test verifies that a user can successfully click on form habit buttons. ","2537","Test Validation: About Us Page Buttons Verification.","tests.ui.about_us_page_tests","Wed Mar 04 10:54:05 UTC 2026","passed","Wed Mar 04 10:54:08 UTC 2026","","test_about_us_page_buttons_verification","",""
"This test verifies that a user can successfully open pages after clicking on buttons in vision cards on the page. ","3902","Test Validation: Click buttons in the vision card after sing in.","tests.ui.about_us_page_tests","Wed Mar 04 10:54:09 UTC 2026","passed","Wed Mar 04 10:54:13 UTC 2026","","test_about_us_page_singin_vision_cards_buttons_check","",""
"Check slider working","6808","test_slider_keyboard_interaction[chrome]","tests.ui.my_habit_tests","Wed Mar 04 10:56:21 UTC 2026","passed","Wed Mar 04 10:56:28 UTC 2026","","test_slider_boundaries","",""
"Test eco news request expecting error","212","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 10:53:49 UTC 2026","passed","Wed Mar 04 10:53:49 UTC 2026","","test_eco_news_get_client_request","",""
"Test like one news page like one news","91","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 04 10:53:51 UTC 2026","passed","Wed Mar 04 10:53:51 UTC 2026","","test_eco_news_get_client_request","",""
"Test eco news request expecting error","92","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 10:53:49 UTC 2026","passed","Wed Mar 04 10:53:49 UTC 2026","","test_eco_news_get_client_request","",""
"Test like one news page like one news","2667","Test like one news on one news page","tests.ui.news_pages_tests","Wed Mar 04 10:56:50 UTC 2026","passed","Wed Mar 04 10:56:53 UTC 2026","","test_one_news_page_like_one_news","",""
"Function to test header navigation.","3405","Header navigation test.","tests.ui.header_navigation_tests","Wed Mar 04 10:56:00 UTC 2026","passed","Wed Mar 04 10:56:03 UTC 2026","","test_header_navigation","",""
"Test eco news request expecting error","289","Verify proper responses when use invalid query params","tests.api.news_api_tests","Wed Mar 04 10:53:49 UTC 2026","passed","Wed Mar 04 10:53:49 UTC 2026","","test_eco_news_get_client_request","",""
