"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test like one news page like one news","3805","Test like one news on one news page","tests.ui.news_pages_tests","Wed Feb 18 14:34:10 UTC 2026","passed","Wed Feb 18 14:34:14 UTC 2026","","test_one_news_page_like_one_news","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Wed Feb 18 14:34:00 UTC 2026","passed","Wed Feb 18 14:34:00 UTC 2026","","test_stub","",""
"A simple smoke test that always passes.","11953","Smoke test for the main page","tests.ui","Wed Feb 18 14:34:16 UTC 2026","passed","Wed Feb 18 14:34:28 UTC 2026","","test_smoke","",""
