"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a user can successfully navigate through tabs on friends abstract page. ","13317","Test Validation: friends abstract page navigation through tabs.","tests.ui","Fri Mar 27 12:12:52 UTC 2026","broken","Fri Mar 27 12:13:06 UTC 2026","","test_friends_abstract_navigation","",""
"","1","API returns eco news list with valid filters -- @1.7 ","","Fri Mar 27 12:03:36 UTC 2026","skipped","Fri Mar 27 12:03:36 UTC 2026","","","",""
"","2039","Dislike eco news by id -- @1.4 ","","Fri Mar 27 12:03:32 UTC 2026","broken","Fri Mar 27 12:03:34 UTC 2026","","","",""
"","6843","User navigates to profile page from dropdown","","Fri Mar 27 12:08:08 UTC 2026","passed","Fri Mar 27 12:08:15 UTC 2026","","","",""
"Test like one news page like one news","237","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 12:03:33 UTC 2026","passed","Fri Mar 27 12:03:34 UTC 2026","","test_get_eco_news_by_id","",""
"Test summary get of eco new","264","Get recommended eco new by id.","tests.api.news_api_tests","Fri Mar 27 12:03:42 UTC 2026","passed","Fri Mar 27 12:03:42 UTC 2026","","test_get_recommended_eco_news","",""
"","2113","Add eco news to favorites by id -- @1.5 ","","Fri Mar 27 12:02:57 UTC 2026","broken","Fri Mar 27 12:02:59 UTC 2026","","","",""
"auth login validation","349","Verify successful login, response time, and token validity","tests.api.own-security-controller_tests","Fri Mar 27 12:03:52 UTC 2026","failed","Fri Mar 27 12:03:52 UTC 2026","","test_login_validation","",""
"","2488","Successfully delete an assigned habit","","Fri Mar 27 12:04:34 UTC 2026","passed","Fri Mar 27 12:04:37 UTC 2026","","","",""
"","6590","Verify mutual friends counter","","Fri Mar 27 12:08:27 UTC 2026","failed","Fri Mar 27 12:08:33 UTC 2026","","","",""
"","1","API returns eco news list with valid filters -- @1.9 ","","Fri Mar 27 12:03:36 UTC 2026","skipped","Fri Mar 27 12:03:36 UTC 2026","","","",""
"","2026","Get recommended eco news by id -- @1.5 ","","Fri Mar 27 12:03:44 UTC 2026","broken","Fri Mar 27 12:03:46 UTC 2026","","","",""
"Test of deletion from favorites of eco new","260","Deletion from favorites eco new by id.","tests.api.news_api_tests","Fri Mar 27 12:03:17 UTC 2026","passed","Fri Mar 27 12:03:17 UTC 2026","","test_delete_from_favourites_eco_new_by_id","",""
"Test like one news page like one news","234","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 27 12:03:36 UTC 2026","passed","Fri Mar 27 12:03:36 UTC 2026","","test_get_eco_news_by_id","",""
