"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test like one news page like one news","263","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:29 UTC 2026","passed","Thu Mar 05 11:55:29 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","246","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:31 UTC 2026","passed","Thu Mar 05 11:55:31 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","13884","Test like one news on one news page","tests.ui.news_pages_tests","Thu Mar 05 11:59:44 UTC 2026","broken","Thu Mar 05 11:59:58 UTC 2026","","test_one_news_page_like_one_news","",""
"Test create eco news request with valid data","407","Create eco new by applying valid parameters to the form.","tests.api","Thu Mar 05 11:55:36 UTC 2026","passed","Thu Mar 05 11:55:37 UTC 2026","","test_create_eco_news_form","",""
"Test like one news page like one news","264","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:26 UTC 2026","passed","Thu Mar 05 11:55:26 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","251","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:27 UTC 2026","passed","Thu Mar 05 11:55:27 UTC 2026","","test_get_eco_news_by_id","",""
"Test habit assignment without loging","558","test_habit_assignment_without_login","tests.api.habit_api_tests","Thu Mar 05 11:55:14 UTC 2026","passed","Thu Mar 05 11:55:15 UTC 2026","","test_habit_assignment","",""
"Test like one news page like one news","235","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:27 UTC 2026","passed","Thu Mar 05 11:55:27 UTC 2026","","test_get_eco_news_by_id","",""
"This test verifies that a user, who is not signed in, sees the correct behavior after clicking on buttons in vision cards on the page.","6589","Test Validation: Click buttons in the vision card before sign in.","tests.ui.about_us_page_tests","Thu Mar 05 11:55:48 UTC 2026","broken","Thu Mar 05 11:55:55 UTC 2026","","test_about_us_page_nosingin_cards_buttons_check","",""
"Test like one news page like one news","234","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:32 UTC 2026","passed","Thu Mar 05 11:55:32 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","268","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:32 UTC 2026","passed","Thu Mar 05 11:55:32 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","243","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:29 UTC 2026","passed","Thu Mar 05 11:55:30 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","259","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:25 UTC 2026","passed","Thu Mar 05 11:55:25 UTC 2026","","test_get_eco_news_by_id","",""
"Test that calendar highlights current system date.","64","Check that calendar highlights current system date on My Space page","tests.ui.my_space_pages_tests.my_space_profile_tests","Thu Mar 05 11:59:19 UTC 2026","passed","Thu Mar 05 11:59:19 UTC 2026","","test_calendar_current_day","",""
"Test Friend Page search.","14425","Search friend requests by partial username","tests.ui.friend_request_page_tests","Thu Mar 05 11:57:52 UTC 2026","skipped","Thu Mar 05 11:58:07 UTC 2026","","test_friend_requests_search","",""
"Change language test for main page.","2895","Verify language switching (UA <-> EN) in Header","tests.ui","Thu Mar 05 11:59:59 UTC 2026","passed","Thu Mar 05 12:00:02 UTC 2026","","test_change_language","",""
"This test verifies that a user can successfully open pages after clicking on buttons in vision cards on the page. ","4002","Test Validation: Click buttons in the vision card after sing in.","tests.ui.about_us_page_tests","Thu Mar 05 11:55:56 UTC 2026","passed","Thu Mar 05 11:56:00 UTC 2026","","test_about_us_page_singin_vision_cards_buttons_check","",""
"Test habit assignment by habit ID","272","Test habit assignment with login","tests.api.habit_api_tests","Thu Mar 05 11:55:14 UTC 2026","passed","Thu Mar 05 11:55:14 UTC 2026","","test_habit_assignment","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Thu Mar 05 11:55:38 UTC 2026","passed","Thu Mar 05 11:55:38 UTC 2026","","test_stub","",""
"Test that 'Habit title' field is required.","422","Check that user is not able to submit a form on the Create Habit page after leaving the 'Title' field empty","tests.ui.habit_form_tests","Thu Mar 05 11:58:19 UTC 2026","passed","Thu Mar 05 11:58:20 UTC 2026","","test_required_title","",""
"Test like one news page like one news","258","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:30 UTC 2026","passed","Thu Mar 05 11:55:30 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","250","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:26 UTC 2026","passed","Thu Mar 05 11:55:27 UTC 2026","","test_get_eco_news_by_id","",""
"Testcase that an anonymous user cannot post a comment on an event.","249","Verify that an unauthorized user cannot leave a comment","tests.api","Thu Mar 05 11:55:37 UTC 2026","passed","Thu Mar 05 11:55:37 UTC 2026","","test_events_comments","",""
"Test like one news page like one news","251","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:32 UTC 2026","passed","Thu Mar 05 11:55:33 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","254","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:30 UTC 2026","passed","Thu Mar 05 11:55:31 UTC 2026","","test_get_eco_news_by_id","",""
"Verify user can update privacy settings on Edit Profile page and changes are saved successfully.","14136","Update profile privacy settings","tests.ui.edit_profile_page_tests","Thu Mar 05 11:57:06 UTC 2026","broken","Thu Mar 05 11:57:20 UTC 2026","","test_update_privacy_settings","",""
"Test habit deletion by habit assigned ID","635","test_delete_assigned_habit[delete assigned habit1]","tests.api.habit_api_tests","Thu Mar 05 11:55:16 UTC 2026","passed","Thu Mar 05 11:55:17 UTC 2026","","test_habit_assignment","",""
"Test like one news page like one news","257","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:29 UTC 2026","passed","Thu Mar 05 11:55:29 UTC 2026","","test_get_eco_news_by_id","",""
"Test that 'Habit description' textarea is required.","373","Check that user is not able to submit a form on the Create Habit page after leaving the 'Habit description' textarea empty","tests.ui.habit_form_tests","Thu Mar 05 11:58:13 UTC 2026","passed","Thu Mar 05 11:58:13 UTC 2026","","test_required_description","",""
"Test like one news page like one news","4210","Test add event link in my events page","tests.ui.my_space_pages_tests.my_events_page_tests","Thu Mar 05 11:59:08 UTC 2026","broken","Thu Mar 05 11:59:12 UTC 2026","","test_add_event_link_in_my_events_page","",""
"Test like one news page like one news","238","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:33 UTC 2026","passed","Thu Mar 05 11:55:33 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","243","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:31 UTC 2026","passed","Thu Mar 05 11:55:31 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","249","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:30 UTC 2026","passed","Thu Mar 05 11:55:30 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","245","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:26 UTC 2026","passed","Thu Mar 05 11:55:26 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","247","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:33 UTC 2026","passed","Thu Mar 05 11:55:33 UTC 2026","","test_get_eco_news_by_id","",""
"Function to test header navigation.","4720","Header navigation test.","tests.ui.header_navigation_tests","Thu Mar 05 11:58:28 UTC 2026","passed","Thu Mar 05 11:58:33 UTC 2026","","test_header_navigation","",""
"Test like one news page like one news","259","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:28 UTC 2026","passed","Thu Mar 05 11:55:28 UTC 2026","","test_get_eco_news_by_id","",""
"Test correct navigation to Find Friend page.","141","Check that user is redirected to Find Friend page after clicking on the [Add friends] button","tests.ui.my_space_pages_tests.my_space_profile_tests","Thu Mar 05 11:59:31 UTC 2026","passed","Thu Mar 05 11:59:31 UTC 2026","","test_navigation_to_find_friend_page","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","525","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Thu Mar 05 11:55:22 UTC 2026","passed","Thu Mar 05 11:55:22 UTC 2026","","test_find_eco_news_by_page","",""
"Test create eco news request with valid data","715","Create eco new by applying valid parameters to the form.","tests.api","Thu Mar 05 11:55:35 UTC 2026","passed","Thu Mar 05 11:55:35 UTC 2026","","test_create_eco_news_form","",""
