"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test like one news page like one news","85","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:45:56 UTC 2026","passed","Fri Mar 20 11:45:56 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","179","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:45:53 UTC 2026","passed","Fri Mar 20 11:45:53 UTC 2026","","test_find_eco_news_by_page","",""
"Check if a user card has username, user city, and [Add friend] button","64","Check that friend card has username, city, and [Add friend] button on the 'All friends' tab on the Friend page for a user with friends","tests.ui.all_friends_page_tests","Fri Mar 20 11:46:58 UTC 2026","passed","Fri Mar 20 11:46:58 UTC 2026","","test_user_card_ui_elements_presence","",""
"Testing of social networks image get request using invalid url","96","test_social_networks_get_image_invalid[https://picsum.photos/400-400-message-Current user has no permission for this action]","tests.api.social_networks","Fri Mar 20 11:46:03 UTC 2026","failed","Fri Mar 20 11:46:03 UTC 2026","","test_social_network_image","",""
"Testing of social networks image get request using invalid url","94","test_social_networks_get_image_invalid[https://picsum.photos/404-404-message-Page is not found]","tests.api.social_networks","Fri Mar 20 11:46:03 UTC 2026","failed","Fri Mar 20 11:46:03 UTC 2026","","test_social_network_image","",""
"Test like one news page like one news","104","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:45:56 UTC 2026","passed","Fri Mar 20 11:45:56 UTC 2026","","test_get_eco_news_by_id","",""
"Test of dislike of eco new","111","Get summary eco new by id.","tests.api.news_api_tests","Fri Mar 20 11:46:01 UTC 2026","passed","Fri Mar 20 11:46:01 UTC 2026","","test_user_like_oneco_new","",""
"Test like one news page like one news","81","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:45:57 UTC 2026","passed","Fri Mar 20 11:45:57 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","13132","Test like one news on one news page","tests.ui.news_pages_tests","Fri Mar 20 11:51:40 UTC 2026","broken","Fri Mar 20 11:51:53 UTC 2026","","test_one_news_page_like_one_news","",""
"Test like one news page like one news","91","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Fri Mar 20 11:45:54 UTC 2026","passed","Fri Mar 20 11:45:54 UTC 2026","","test_get_eco_news_by_id","",""
"Test case that verifies a sent friend request remains active after the user logs out and logs back in.","5310","Verify Friend Request Persistence After User Logout and Login","tests.ui.find_friend_page_tests","Fri Mar 20 11:49:13 UTC 2026","failed","Fri Mar 20 11:49:19 UTC 2026","","test_verify_friend_request_persistence","",""
"Test summary get of eco new","126","Get recommended eco new by id.","tests.api.news_api_tests","Fri Mar 20 11:45:59 UTC 2026","passed","Fri Mar 20 11:45:59 UTC 2026","","test_get_recommended_eco_news","",""
"Test that 'Habit description' textarea is required.","358","Check that user is not able to submit a form on the Create Habit page after leaving the 'Habit description' textarea empty","tests.ui.habit_form_tests","Fri Mar 20 11:49:56 UTC 2026","passed","Fri Mar 20 11:49:56 UTC 2026","","test_required_description","",""
