"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","224","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 11:09:54 UTC 2026","passed","Tue Mar 17 11:09:55 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","141","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 11:09:56 UTC 2026","passed","Tue Mar 17 11:09:56 UTC 2026","","test_get_eco_news_by_id","",""
"Test eco news request expecting error","140","Verify proper responses when use invalid query params","tests.api.news_api_tests","Tue Mar 17 11:09:50 UTC 2026","passed","Tue Mar 17 11:09:51 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","108","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 11:09:56 UTC 2026","passed","Tue Mar 17 11:09:56 UTC 2026","","test_get_eco_news_by_id","",""
"Test habit assignment without loging","104","test_habit_assignment_without_login","tests.api.habit_api_tests","Tue Mar 17 11:09:49 UTC 2026","passed","Tue Mar 17 11:09:49 UTC 2026","","test_habit_assignment","",""
"A simple smoke test that always passes.","439","Smoke test for the main page","tests.ui","Tue Mar 17 11:16:40 UTC 2026","broken","Tue Mar 17 11:16:41 UTC 2026","","test_smoke","",""
"Test like one news page like one news","149","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 11:09:58 UTC 2026","passed","Tue Mar 17 11:09:58 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","107","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 11:09:57 UTC 2026","passed","Tue Mar 17 11:09:57 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","105","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 11:09:58 UTC 2026","passed","Tue Mar 17 11:09:58 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","225","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 11:09:54 UTC 2026","passed","Tue Mar 17 11:09:54 UTC 2026","","test_find_eco_news_by_page","",""
"This test verifies that a user can successfully navigate through tabs on friends abstract page. ","2168","Test Validation: friends abstract page navigation through tabs.","tests.ui","Tue Mar 17 11:16:30 UTC 2026","passed","Tue Mar 17 11:16:32 UTC 2026","","test_friends_abstract_navigation","",""
"Test like one news page like one news","109","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 11:09:56 UTC 2026","passed","Tue Mar 17 11:09:56 UTC 2026","","test_get_eco_news_by_id","",""
"Test to verify get mutual friends.","0","Verify user can get list of mutual friends via API.","tests.api.friends_api_test","Tue Mar 17 11:09:45 UTC 2026","skipped","Tue Mar 17 11:09:45 UTC 2026","","test_mutual_friends","",""
