"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A test that does nothing and always passes.","0","test_nothing","tests","Tue Feb 17 11:57:13 UTC 2026","passed","Tue Feb 17 11:57:13 UTC 2026","","test_stub","",""
"Test like one news page like one news","2841","Test like one news on one news page","tests.ui.news_pages_tests","Tue Feb 17 11:57:22 UTC 2026","passed","Tue Feb 17 11:57:25 UTC 2026","","test_one_news_page_like_one_news","",""
"A simple smoke test that always passes.","10555","Smoke test for the main page","tests.ui","Tue Feb 17 11:57:28 UTC 2026","passed","Tue Feb 17 11:57:38 UTC 2026","","test_smoke","",""
