"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check message on the empty 'All friends' tab on the Friend page","0","Check that the 'This user has no friends' message is shown on the 'All friends' tab on the Friend page for a user without friends","tests.ui.all_friends_page_tests","Wed Mar 25 18:52:56 UTC 2026","broken","Wed Mar 25 18:52:56 UTC 2026","","test_user_without_friends_shows_placeholder_message","",""
"","4821","User likes or unlikes a news article from the one news page","","Wed Mar 25 18:53:05 UTC 2026","skipped","Wed Mar 25 18:53:10 UTC 2026","","","",""
"","5001","Display logged-in user information in header","","Wed Mar 25 18:53:45 UTC 2026","passed","Wed Mar 25 18:53:50 UTC 2026","","","",""
"","0","Validate eco news retrieval by ID with different languages -- @1.15 ","","Wed Mar 25 18:52:00 UTC 2026","skipped","Wed Mar 25 18:52:00 UTC 2026","","","",""
"","0","Image page not found","","Wed Mar 25 18:52:41 UTC 2026","skipped","Wed Mar 25 18:52:41 UTC 2026","","","",""
"","1569","Navigate through Friends page tabs","","Wed Mar 25 18:53:10 UTC 2026","broken","Wed Mar 25 18:53:12 UTC 2026","","","",""
"","4854","User switches website language -- @1.2 ","","Wed Mar 25 18:53:17 UTC 2026","passed","Wed Mar 25 18:53:22 UTC 2026","","","",""
"","4673","User signs out from the account","","Wed Mar 25 18:54:00 UTC 2026","passed","Wed Mar 25 18:54:05 UTC 2026","","","",""
"We check possibility add field into to do list of some special habit","11119","Add custom item into to_do_list","tests.ui.my_habit_tests","Wed Mar 25 18:57:19 UTC 2026","passed","Wed Mar 25 18:57:30 UTC 2026","","test_one_event_page_add_custom_item_in_to_do_list","",""
"Test for deletion of social_network by id verification","80","Check user access to the deletion of social media.","tests.api.social_networks","Wed Mar 25 18:51:52 UTC 2026","passed","Wed Mar 25 18:51:52 UTC 2026","","test_delete_social_network","",""
"","98","Verify 403 Forbidden for ROLE_USER with pref 'INVITES' and period 'IMMEDIATELY'","tests.api.user_notification_preference_tests","Wed Mar 25 18:51:58 UTC 2026","passed","Wed Mar 25 18:51:58 UTC 2026","","test_forbidden_user_notif_pref","",""
"","1","Search filters mutual friends list","","Wed Mar 25 18:54:29 UTC 2026","skipped","Wed Mar 25 18:54:29 UTC 2026","","","",""
"Test like one news page like one news","112","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 25 18:51:34 UTC 2026","passed","Wed Mar 25 18:51:34 UTC 2026","","test_get_eco_news_by_id","",""
"","1557","Get recommended eco news by id -- @1.1 ","","Wed Mar 25 18:52:00 UTC 2026","broken","Wed Mar 25 18:52:02 UTC 2026","","","",""
"TC-MP-02: Verify navigation from Main Page to Eco News page.","2617","TC-MP-02: Verify navigation from Main Page to Eco News page","tests.ui.main_page_tests","Wed Mar 25 18:57:08 UTC 2026","passed","Wed Mar 25 18:57:10 UTC 2026","","test_navigation_to_eco_news_page","",""
"Check user menu functionality.","1088","User menu check","tests.ui.user_menu_test","Wed Mar 25 19:00:10 UTC 2026","passed","Wed Mar 25 19:00:11 UTC 2026","","test_user_menu","",""
"","1669","Update eco news with invalid data -- @1.2 ","","Wed Mar 25 18:52:39 UTC 2026","broken","Wed Mar 25 18:52:41 UTC 2026","","","",""
"","1","API returns eco news list with valid filters -- @1.3 ","","Wed Mar 25 18:52:00 UTC 2026","skipped","Wed Mar 25 18:52:00 UTC 2026","","","",""
"","0","Forbidden access","","Wed Mar 25 18:52:41 UTC 2026","skipped","Wed Mar 25 18:52:41 UTC 2026","","","",""
"","2589","Delete eco news by id with invalid or restricted access -- @1.1 ","","Wed Mar 25 18:51:26 UTC 2026","broken","Wed Mar 25 18:51:28 UTC 2026","","","",""
"This test verifies that a user, who is not signed in, sees the correct behavior after clicking on buttons in vision cards on the page.","4518","Test Validation: Click buttons in the vision card before sign in.","tests.ui.about_us_page_tests","Wed Mar 25 18:52:15 UTC 2026","broken","Wed Mar 25 18:52:20 UTC 2026","","test_about_us_page_nosingin_cards_buttons_check","",""
"Test like one news page like one news","106","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 25 18:51:36 UTC 2026","passed","Wed Mar 25 18:51:37 UTC 2026","","test_get_eco_news_by_id","",""
"","0","Mutual friends count consistency","","Wed Mar 25 18:52:41 UTC 2026","skipped","Wed Mar 25 18:52:41 UTC 2026","","","",""
"","1","Validate eco news retrieval by ID with different languages -- @1.16 ","","Wed Mar 25 18:52:00 UTC 2026","skipped","Wed Mar 25 18:52:00 UTC 2026","","","",""
"","1741","Delete eco news from favorites by id -- @1.1 ","","Wed Mar 25 18:51:39 UTC 2026","broken","Wed Mar 25 18:51:40 UTC 2026","","","",""
"","6877","Adjusting habit durations with the slider -- @1.2 ","","Wed Mar 25 18:55:10 UTC 2026","passed","Wed Mar 25 18:55:17 UTC 2026","","","",""
"","1562","Add eco news to favorites by id -- @1.2 ","","Wed Mar 25 18:51:17 UTC 2026","broken","Wed Mar 25 18:51:19 UTC 2026","","","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","113","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 25 18:51:33 UTC 2026","passed","Wed Mar 25 18:51:33 UTC 2026","","test_find_eco_news_by_page","",""
"","1","Validate eco news retrieval by ID with different languages -- @1.4 ","","Wed Mar 25 18:52:00 UTC 2026","skipped","Wed Mar 25 18:52:00 UTC 2026","","","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","181","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Wed Mar 25 18:51:33 UTC 2026","passed","Wed Mar 25 18:51:33 UTC 2026","","test_find_eco_news_by_page","",""
"","1","Verify cancel button discards changes","","Wed Mar 25 18:55:25 UTC 2026","skipped","Wed Mar 25 18:55:25 UTC 2026","","","",""
"","1","Unexpected status code","","Wed Mar 25 18:52:41 UTC 2026","skipped","Wed Mar 25 18:52:41 UTC 2026","","","",""
"","1","Internal server error","","Wed Mar 25 18:52:41 UTC 2026","skipped","Wed Mar 25 18:52:41 UTC 2026","","","",""
"","109","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'WEEKLY'","tests.api.user_notification_preference_tests","Wed Mar 25 18:52:00 UTC 2026","passed","Wed Mar 25 18:52:00 UTC 2026","","test_forbidden_user_notif_pref","",""
"","95","Verify 403 Forbidden for ROLE_USER with pref 'PLACES' and period 'DAILY'","tests.api.user_notification_preference_tests","Wed Mar 25 18:51:59 UTC 2026","passed","Wed Mar 25 18:51:59 UTC 2026","","test_forbidden_user_notif_pref","",""
"","1","Authorized user can successfully leave and delete a comment","","Wed Mar 25 18:52:41 UTC 2026","skipped","Wed Mar 25 18:52:41 UTC 2026","","","",""
"","10051","test_friend_requests_tab_opens[chrome]","tests.ui","Wed Mar 25 18:59:21 UTC 2026","broken","Wed Mar 25 18:59:31 UTC 2026","","test_friend_requests_page","",""
