"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify slider respects minimum and maximum boundaries when moved.","4457","test_slider_respects_boundaries[chrome]","tests.ui.my_habit_tests","Tue Mar 24 15:30:27 UTC 2026","passed","Tue Mar 24 15:30:31 UTC 2026","","test_slider_boundaries","",""
"","1","Update eco news by id -- @1.1 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Unexpected status code","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","0","Forbidden access","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","API returns eco news list with valid filters -- @1.8 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","183","Verify 403 Forbidden for ROLE_USER with pref 'COMMENTS' and period 'DAILY'","tests.api.user_notification_preference_tests","Tue Mar 24 15:24:10 UTC 2026","passed","Tue Mar 24 15:24:10 UTC 2026","","test_forbidden_user_notif_pref","",""
"","0","Remove eco news from favorites by id -- @1.4 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","294","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:32 UTC 2026","passed","Tue Mar 24 15:23:32 UTC 2026","","test_find_eco_news_by_page","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Tue Mar 24 15:24:13 UTC 2026","passed","Tue Mar 24 15:24:13 UTC 2026","","test_stub","",""
"Test like one news page like one news","186","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:38 UTC 2026","passed","Tue Mar 24 15:23:38 UTC 2026","","test_get_eco_news_by_id","",""
"Test eco news summary retrieval by id (GET /eco-news/{id}/summary)","201","Get summary eco new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:28 UTC 2026","passed","Tue Mar 24 15:23:28 UTC 2026","","test_eco_new_summary","",""
"","10049","test_friend_requests_tab_opens[chrome]","tests.ui","Tue Mar 24 15:32:02 UTC 2026","broken","Tue Mar 24 15:32:12 UTC 2026","","test_friend_requests_page","",""
"Negative security tests: verify regular user receives 403 on restricted email endpoints.","186","Security: Verify regular user gets 403 when trying to trigger scheduled email notification","tests.api.email_api_tests","Tue Mar 24 15:23:02 UTC 2026","passed","Tue Mar 24 15:23:02 UTC 2026","","test_email","",""
"","0","Retrieve recommended eco news -- @1.1 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Eco news does not exist","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Negative security tests: verify regular user receives 403 on restricted email endpoints.","184","Security: Verify regular user gets 403 when trying to send user violation email","tests.api.email_api_tests","Tue Mar 24 15:22:57 UTC 2026","passed","Tue Mar 24 15:22:58 UTC 2026","","test_email","",""
"Test like one news page like one news","182","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:39 UTC 2026","passed","Tue Mar 24 15:23:39 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","255","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:30 UTC 2026","passed","Tue Mar 24 15:23:30 UTC 2026","","test_find_eco_news_by_page","",""
"Test get habit assignments for current user with supported language codes","484","Test user can retrieve habit assignments with supported language codes","tests.api.habit_api_tests","Tue Mar 24 15:23:06 UTC 2026","passed","Tue Mar 24 15:23:07 UTC 2026","","test_get_all_habit_assignments_for_current_user","",""
"Test for validation of correctness of DELETE request.","224","Delete eco new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:18 UTC 2026","passed","Tue Mar 24 15:23:19 UTC 2026","","test_delete_eco_new_by_id","",""
"Negative security tests: verify regular user receives 403 on restricted email endpoints.","195","Security: Verify regular user gets 403 when trying to send habit notification email","tests.api.email_api_tests","Tue Mar 24 15:23:01 UTC 2026","passed","Tue Mar 24 15:23:01 UTC 2026","","test_email","",""
"Test like one news page like one news","187","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:36 UTC 2026","passed","Tue Mar 24 15:23:36 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","371","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:30 UTC 2026","passed","Tue Mar 24 15:23:30 UTC 2026","","test_find_eco_news_by_page","",""
"","5476","Validation of mandatory ""Description"" textarea","","Tue Mar 24 15:23:50 UTC 2026","passed","Tue Mar 24 15:23:56 UTC 2026","","","",""
"","1","Unsuccessful password update due to validation errors -- @1.2 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Forbidden access","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","5093","User opens the Create Event page from My Events tab","","Tue Mar 24 15:25:55 UTC 2026","broken","Tue Mar 24 15:26:00 UTC 2026","","","",""
"","163","Verify 403 Forbidden for ROLE_USER with pref 'LIKES' and period 'TWICE_A_DAY'","tests.api.user_notification_preference_tests","Tue Mar 24 15:24:09 UTC 2026","passed","Tue Mar 24 15:24:09 UTC 2026","","test_forbidden_user_notif_pref","",""
"Test habit assignment with correct id","404","Test habit assignment with login and correct id","tests.api.habit_api_tests","Tue Mar 24 15:23:10 UTC 2026","passed","Tue Mar 24 15:23:10 UTC 2026","","test_habit_assignment","",""
"","0","Retrieve eco news summary -- @1.1 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","5545","Verify scrolling or pagination of friends list","","Tue Mar 24 15:25:43 UTC 2026","passed","Tue Mar 24 15:25:49 UTC 2026","","","",""
"","0","Forbidden access","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","181","Verify 403 Forbidden for ROLE_USER with pref 'SYSTEM' and period 'IMMEDIATELY'","tests.api.user_notification_preference_tests","Tue Mar 24 15:24:08 UTC 2026","passed","Tue Mar 24 15:24:08 UTC 2026","","test_forbidden_user_notif_pref","",""
"","5417","User signs out from the account","","Tue Mar 24 15:25:22 UTC 2026","passed","Tue Mar 24 15:25:28 UTC 2026","","","",""
"Test of dislike of eco new","196","Get summary eco new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:50 UTC 2026","passed","Tue Mar 24 15:23:51 UTC 2026","","test_user_like_oneco_new","",""
"Test like one news page like one news","186","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:40 UTC 2026","passed","Tue Mar 24 15:23:40 UTC 2026","","test_get_eco_news_by_id","",""
"","1","Delete social network by id -- @1.4 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test summary get of eco new","230","Get recommended eco new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:42 UTC 2026","passed","Tue Mar 24 15:23:42 UTC 2026","","test_get_recommended_eco_news","",""
"A simple smoke test that always passes.","1303","Smoke test for the main page","tests.ui","Tue Mar 24 15:32:35 UTC 2026","broken","Tue Mar 24 15:32:36 UTC 2026","","test_smoke","",""
"Test summary get of eco new","229","Get recommended eco new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:41 UTC 2026","passed","Tue Mar 24 15:23:41 UTC 2026","","test_get_recommended_eco_news","",""
"","1","Delete eco news by id -- @1.2 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","0","User updates habit duration -- @1.2 ","","Tue Mar 24 15:26:57 UTC 2026","skipped","Tue Mar 24 15:26:57 UTC 2026","","","",""
"Test of addition to favorites of eco new","203","Add to favorites eco new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:18 UTC 2026","failed","Tue Mar 24 15:23:18 UTC 2026","","test_add_to_favourites_eco_new_by_id","",""
"","1","Get Google Security configuration -- @1.2 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","185","Verify 403 Forbidden for ROLE_USER with pref 'LIKES' and period 'WEEKLY'","tests.api.user_notification_preference_tests","Tue Mar 24 15:24:11 UTC 2026","passed","Tue Mar 24 15:24:11 UTC 2026","","test_forbidden_user_notif_pref","",""
"","1","Forbidden access","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Successful dislike request","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test for validation of like or remove of like for eco new by id","215","Like or unlike new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:45 UTC 2026","passed","Tue Mar 24 15:23:45 UTC 2026","","test_like_remove_like_eco_new_by_id","",""
"","182","Verify 403 Forbidden for ROLE_USER with pref 'SYSTEM' and period 'MONTHLY'","tests.api.user_notification_preference_tests","Tue Mar 24 15:24:11 UTC 2026","passed","Tue Mar 24 15:24:12 UTC 2026","","test_forbidden_user_notif_pref","",""
"Testing of social networks image get request using invalid url","183","test_social_networks_get_image_invalid[https://picsum.photos/404-404-message-Page is not found]","tests.api.social_networks","Tue Mar 24 15:24:02 UTC 2026","failed","Tue Mar 24 15:24:03 UTC 2026","","test_social_network_image","",""
"","1","Add eco news to favorites by id -- @1.4 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","188","Verify 403 Forbidden for ROLE_USER with pref 'LIKES' and period 'IMMEDIATELY'","tests.api.user_notification_preference_tests","Tue Mar 24 15:24:08 UTC 2026","passed","Tue Mar 24 15:24:08 UTC 2026","","test_forbidden_user_notif_pref","",""
"Test eco news request expecting error","185","Verify proper responses when use invalid query params","tests.api.news_api_tests","Tue Mar 24 15:23:29 UTC 2026","passed","Tue Mar 24 15:23:29 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","184","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:38 UTC 2026","passed","Tue Mar 24 15:23:38 UTC 2026","","test_get_eco_news_by_id","",""
"","0","User has no permission to delete social network","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Validate eco news retrieval by ID with different languages -- @1.21 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","0","Update eco news by id -- @1.5 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","254","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:29 UTC 2026","passed","Tue Mar 24 15:23:30 UTC 2026","","test_find_eco_news_by_page","",""
"Negative security tests: verify regular user receives 403 on restricted email endpoints.","187","Security: Verify regular user gets 403 when trying to send place status change email","tests.api.email_api_tests","Tue Mar 24 15:22:59 UTC 2026","passed","Tue Mar 24 15:22:59 UTC 2026","","test_email","",""
"Check user menu functionality.","1095","User menu check","tests.ui.user_menu_test","Tue Mar 24 15:32:50 UTC 2026","passed","Tue Mar 24 15:32:51 UTC 2026","","test_user_menu","",""
"","1","Like or unlike eco news by id -- @1.4 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test create eco news request with invalid data","205","Update eco new by applying invalid parameters to the form.","tests.api.news_api_tests","Tue Mar 24 15:23:48 UTC 2026","passed","Tue Mar 24 15:23:48 UTC 2026","","test_update_eco_new_by_id","",""
"","4871","User navigates to Events page","","Tue Mar 24 15:24:46 UTC 2026","passed","Tue Mar 24 15:24:51 UTC 2026","","","",""
"This test verifies that the user can successfully send friend request to the other user. ","10047","Add friend by clicking on button","tests.ui.friend_abstract_other_user","Tue Mar 24 15:28:32 UTC 2026","broken","Tue Mar 24 15:28:42 UTC 2026","","test_add_friend","",""
"Test case that verifies flow of saving and unsaving an event.
    Includes unauthorized save attempt, authorization process,
    verifying the event in the 'Saved' tab, and its successful removal.","36002","Verify Event Saving Functionality and Saved Items Management","tests.ui.event_saved_tests","Tue Mar 24 15:27:21 UTC 2026","passed","Tue Mar 24 15:27:57 UTC 2026","","test_verify_event_saving_management","",""
"Test like one news page like one news","191","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:36 UTC 2026","passed","Tue Mar 24 15:23:37 UTC 2026","","test_get_eco_news_by_id","",""
"Test for deletion of social_network by id verification","189","Check user access to the deletion of social media.","tests.api.social_networks","Tue Mar 24 15:23:59 UTC 2026","passed","Tue Mar 24 15:24:00 UTC 2026","","test_delete_social_network","",""
"","0","Get social network image -- @1.1 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test that unauthenticated users cannot access the change password endpoint","183","Unsuccessful password update attempt without authentication (401)","tests.api.own-security-controller_tests","Tue Mar 24 15:23:54 UTC 2026","passed","Tue Mar 24 15:23:54 UTC 2026","","test_password_update","",""
"","1","Update eco news by id -- @1.2 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test to verify get mutual friends.","221","Verify user can get list of mutual friends via API.","tests.api.friends_api_test","Tue Mar 24 15:23:06 UTC 2026","passed","Tue Mar 24 15:23:06 UTC 2026","","test_mutual_friends","",""
"","1","User has no permission to add eco news to favorites","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","API returns an error when invalid query parameters are used -- @1.3 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"TC-MP-01: Verify Main Page loads correctly.","2959","TC-MP-01: Verify Main Page loads correctly","tests.ui.main_page_tests","Tue Mar 24 15:29:57 UTC 2026","passed","Tue Mar 24 15:30:00 UTC 2026","","test_main_page_loads_correctly","",""
"Test of dislike of eco new","198","Get summary eco new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:49 UTC 2026","passed","Tue Mar 24 15:23:49 UTC 2026","","test_user_like_oneco_new","",""
"Test visibility of filters and search controls on Saved Places page.","13008","Verify filters and search controls are displayed on Saved Places page","tests.ui.places_saved_page_tests","Tue Mar 24 15:31:40 UTC 2026","failed","Tue Mar 24 15:31:53 UTC 2026","","test_filters_and_search_on_saved_places_page","",""
"","1","Successfully delete social network","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","0","Internal server error","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Validate eco news retrieval by ID with different languages -- @1.15 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Retrieve recommended eco news -- @1.3 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test like one news page like one news","189","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:34 UTC 2026","passed","Tue Mar 24 15:23:34 UTC 2026","","test_get_eco_news_by_id","",""
"","14684","Navigate through Friends page tabs","","Tue Mar 24 15:24:15 UTC 2026","broken","Tue Mar 24 15:24:29 UTC 2026","","","",""
"","0","Delete social network by id -- @1.3 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test eco news request expecting error","184","Verify proper responses when use invalid query params","tests.api.news_api_tests","Tue Mar 24 15:23:29 UTC 2026","passed","Tue Mar 24 15:23:29 UTC 2026","","test_find_eco_news_by_page","",""
"","1","API returns eco news list with valid filters -- @1.11 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","5391","User navigates to Home page via GreenCity logo","","Tue Mar 24 15:25:01 UTC 2026","passed","Tue Mar 24 15:25:07 UTC 2026","","","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","190","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:31 UTC 2026","passed","Tue Mar 24 15:23:32 UTC 2026","","test_find_eco_news_by_page","",""
"","0","API returns an error when invalid query parameters are used -- @1.5 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Add eco news to favorites by id -- @1.5 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Add eco news to favorites by id -- @1.2 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","API returns eco news list with valid filters -- @1.9 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test for validation of like or remove of like for eco new by id","207","Like or unlike new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:43 UTC 2026","passed","Tue Mar 24 15:23:44 UTC 2026","","test_like_remove_like_eco_new_by_id","",""
"Test that 'Habit title' field is required.","384","Check that user is not able to submit a form on the Create Habit page after leaving the 'Title' field empty","tests.ui.habit_form_tests","Tue Mar 24 15:29:39 UTC 2026","passed","Tue Mar 24 15:29:39 UTC 2026","","test_required_title","",""
"Test various validation errors during password update","167","Password update validation: Empty confirm password","tests.api.own-security-controller_tests","Tue Mar 24 15:23:53 UTC 2026","passed","Tue Mar 24 15:23:53 UTC 2026","","test_password_update","",""
"Test like one news page like one news","187","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 24 15:23:36 UTC 2026","passed","Tue Mar 24 15:23:36 UTC 2026","","test_get_eco_news_by_id","",""
"Test for deletion of social_network by id verification","182","Check user access to the deletion of social media.","tests.api.social_networks","Tue Mar 24 15:24:01 UTC 2026","passed","Tue Mar 24 15:24:01 UTC 2026","","test_delete_social_network","",""
"Testing of social networks image get request using invalid url","184","test_social_networks_get_image_invalid[https://picsum.photos/500-500-error-Internal Server Error]","tests.api.social_networks","Tue Mar 24 15:24:03 UTC 2026","failed","Tue Mar 24 15:24:04 UTC 2026","","test_social_network_image","",""
"","0","Retrieve eco news summary -- @1.5 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Unsuccessful password update attempt without authentication","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","0","Eco news not found","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","API returns eco news list with valid filters -- @1.12 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"This test verifies that a user can successfully click on form habit buttons. ","3588","Test Validation: About Us Page Buttons Verification.","tests.ui.about_us_page_tests","Tue Mar 24 15:24:24 UTC 2026","broken","Tue Mar 24 15:24:27 UTC 2026","","test_about_us_page_buttons_verification","",""
"Test like one news page like one news","853","Test like one news on one news page","tests.ui.news_pages_tests","Tue Mar 24 15:31:26 UTC 2026","skipped","Tue Mar 24 15:31:26 UTC 2026","","test_one_news_page_like_one_news","",""
"","0","Successfully delete eco news","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","0","Social network not found","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"Test habit assignment with incorrect id","192","Test habit assignment with login and incorrect id","tests.api.habit_api_tests","Tue Mar 24 15:23:11 UTC 2026","passed","Tue Mar 24 15:23:12 UTC 2026","","test_habit_assignment","",""
"","184","Verify 403 Forbidden for ROLE_USER with pref 'INVITES' and period 'NEVER'","tests.api.user_notification_preference_tests","Tue Mar 24 15:24:13 UTC 2026","passed","Tue Mar 24 15:24:13 UTC 2026","","test_forbidden_user_notif_pref","",""
"","8820","Adjusting habit durations with the slider -- @1.1 ","","Tue Mar 24 15:26:28 UTC 2026","passed","Tue Mar 24 15:26:37 UTC 2026","","","",""
"Test eco news summary retrieval by id (GET /eco-news/{id}/summary)","203","Get summary eco new by id.","tests.api.news_api_tests","Tue Mar 24 15:23:27 UTC 2026","passed","Tue Mar 24 15:23:27 UTC 2026","","test_eco_new_summary","",""
"This test verifies that a user, who is not signed in, sees the correct behavior after clicking on buttons in vision cards on the page.","35037","Test Validation: Click buttons in the vision card before sign in.","tests.ui.about_us_page_tests","Tue Mar 24 15:24:29 UTC 2026","broken","Tue Mar 24 15:25:04 UTC 2026","","test_about_us_page_nosingin_cards_buttons_check","",""
"","0","Get Google Security configuration -- @1.1 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Validate eco news retrieval by ID with different languages -- @1.3 ","","Tue Mar 24 15:22:55 UTC 2026","skipped","Tue Mar 24 15:22:55 UTC 2026","","","",""
"","1","Verify Create Eco News page header","","Tue Mar 24 15:23:56 UTC 2026","skipped","Tue Mar 24 15:23:56 UTC 2026","","","",""
"Testing of social networks image get request using valid url","186","Check user access for image of social network.","tests.api.social_networks","Tue Mar 24 15:24:01 UTC 2026","failed","Tue Mar 24 15:24:02 UTC 2026","","test_social_network_image","",""
