"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a user can successfully open pages after clicking on buttons in vision cards on the page. ","4801","Test Validation: Click buttons in the vision card after sing in.","tests.ui.about_us_page_tests","Tue Mar 17 08:37:54 UTC 2026","passed","Tue Mar 17 08:37:59 UTC 2026","","test_about_us_page_singin_vision_cards_buttons_check","",""
"Test habit assignment by habit ID","251","Test habit assignment with login","tests.api.habit_api_tests","Tue Mar 17 08:37:04 UTC 2026","failed","Tue Mar 17 08:37:04 UTC 2026","","test_habit_assignment","",""
"This test verifies that a user, who is not signed in, sees the correct behavior after clicking on buttons in vision cards on the page.","6143","Test Validation: Click buttons in the vision card before sign in.","tests.ui.about_us_page_tests","Tue Mar 17 08:37:46 UTC 2026","broken","Tue Mar 17 08:37:52 UTC 2026","","test_about_us_page_nosingin_cards_buttons_check","",""
"Test to verify get mutual friends.","0","Verify user can get list of mutual friends via API.","tests.api.friends_api_test","Tue Mar 17 08:37:01 UTC 2026","skipped","Tue Mar 17 08:37:01 UTC 2026","","test_mutual_friends","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","274","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:11 UTC 2026","passed","Tue Mar 17 08:37:11 UTC 2026","","test_find_eco_news_by_page","",""
"We check possibility add field into to do list of some special habit","10915","Add custom item into to_do_list","tests.ui.my_habit_tests","Tue Mar 17 08:40:53 UTC 2026","broken","Tue Mar 17 08:41:04 UTC 2026","","test_one_event_page_add_custom_item_in_to_do_list","",""
"A test that does nothing and always passes.","0","test_nothing","tests","Tue Mar 17 08:37:28 UTC 2026","passed","Tue Mar 17 08:37:28 UTC 2026","","test_stub","",""
"Test like one news page like one news","191","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:20 UTC 2026","passed","Tue Mar 17 08:37:20 UTC 2026","","test_get_eco_news_by_id","",""
"Verify that user can search friends by full and partial name on Friends page.","10056","Search friend by full and partial name","tests.ui.my_friends_page_tests","Tue Mar 17 08:40:38 UTC 2026","broken","Tue Mar 17 08:40:48 UTC 2026","","test_search_my_friend","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","278","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:09 UTC 2026","passed","Tue Mar 17 08:37:09 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","193","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:21 UTC 2026","passed","Tue Mar 17 08:37:21 UTC 2026","","test_get_eco_news_by_id","",""
"Test eco news request expecting error","193","Verify proper responses when use invalid query params","tests.api.news_api_tests","Tue Mar 17 08:37:08 UTC 2026","passed","Tue Mar 17 08:37:08 UTC 2026","","test_find_eco_news_by_page","",""
"This test verifies that a user can successfully create eco new. ","4209","Test Validation: Create Eco News with Valid Data.","tests.ui.news_pages_tests","Tue Mar 17 08:41:49 UTC 2026","broken","Tue Mar 17 08:41:53 UTC 2026","","test_create_eco_news_with_valid_data","",""
"Function to test header navigation.","4562","Header navigation test.","tests.ui.header_navigation_tests","Tue Mar 17 08:40:23 UTC 2026","passed","Tue Mar 17 08:40:28 UTC 2026","","test_header_navigation","",""
"Test create eco news request with valid data","390","Create eco new by applying valid parameters to the form.","tests.api","Tue Mar 17 08:37:26 UTC 2026","passed","Tue Mar 17 08:37:26 UTC 2026","","test_create_eco_news_form","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","210","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:11 UTC 2026","passed","Tue Mar 17 08:37:11 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","193","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:18 UTC 2026","passed","Tue Mar 17 08:37:19 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","3991","Test add event link in my events page","tests.ui.my_space_pages_tests.my_events_page_tests","Tue Mar 17 08:41:22 UTC 2026","broken","Tue Mar 17 08:41:26 UTC 2026","","test_add_event_link_in_my_events_page","",""
"Test like one news page like one news","212","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:15 UTC 2026","passed","Tue Mar 17 08:37:15 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","205","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:17 UTC 2026","passed","Tue Mar 17 08:37:18 UTC 2026","","test_get_eco_news_by_id","",""
"Test that calendar highlights current system date.","65","Check that calendar highlights current system date on My Space page","tests.ui.my_space_pages_tests.my_space_profile_tests","Tue Mar 17 08:41:31 UTC 2026","passed","Tue Mar 17 08:41:31 UTC 2026","","test_calendar_current_day","",""
"Verify user can update name, city and credo on Edit Profile page and changes are saved successfully.","15217","Update basic profile information","tests.ui.edit_profile_page_tests","Tue Mar 17 08:38:00 UTC 2026","broken","Tue Mar 17 08:38:16 UTC 2026","","test_edit_profile_info","",""
"Test like one news page like one news","179","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:18 UTC 2026","passed","Tue Mar 17 08:37:18 UTC 2026","","test_get_eco_news_by_id","",""
"Validate 200 OK response and eco news JSON schema for find_eco_news_by_page with various filters.","199","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:12 UTC 2026","passed","Tue Mar 17 08:37:13 UTC 2026","","test_find_eco_news_by_page","",""
"Test like one news page like one news","184","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:17 UTC 2026","passed","Tue Mar 17 08:37:17 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","200","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:14 UTC 2026","passed","Tue Mar 17 08:37:14 UTC 2026","","test_get_eco_news_by_id","",""
"Test like one news page like one news","180","Test eco news get request's response returns correct data format","tests.api.news_api_tests","Tue Mar 17 08:37:15 UTC 2026","passed","Tue Mar 17 08:37:15 UTC 2026","","test_get_eco_news_by_id","",""
